statement,predicted_label_id,predicted_status,confidence,
Đó là một điểm tốt. Tôi đã nói chuyện với một số bác sĩ nhưng lời khuyên của họ dường như không có tác dụng với tôi. Nó càng khiến tôi nghi ngờ bản thân mình hơn. Tôi chỉ không chắc liệu mình có làm sai điều gì hay có vấn đề sức khỏe tiềm ẩn nào đó chưa được xác định.,1,Bipolar,0.91606355,
"Tôi sẽ cố gắng thực hành việc chăm sóc bản thân, chẳng hạn như nghỉ ngơi khi cần, viết nhật ký để xử lý cảm xúc và nhắc nhở bản thân rằng tôi xứng đáng được yêu thương và tha thứ. Sẽ không dễ dàng gì nhưng tôi sẽ cố gắng hết sức để nhẹ nhàng với bản thân.",0,Anxiety,0.61473954,
"Chúng tôi đã cố gắng nhưng kết quả luôn là cảm giác thất vọng và tổn thương nhiều hơn. Giống như chúng ta đang nói những ngôn ngữ khác nhau, không thể thực sự nắm bắt được quan điểm của nhau. Tôi không biết làm thế nào chúng ta có thể thu hẹp khoảng cách đó.",4,Personality disorder,0.99748176,
"Vượt qua sự nghi ngờ bản thân bắt đầu bằng việc thách thức những suy nghĩ tiêu cực và thay thế chúng bằng những lời khẳng định tích cực. Tôi sẽ nhắc nhở bản thân về những điểm mạnh, những thành tựu trong quá khứ và những tiến bộ mà tôi đã đạt được. Bao quanh bản thân những ảnh hưởng tích cực và thường xuyên ăn mừng những chiến thắng nhỏ cũng sẽ giúp nuôi dưỡng niềm tin vào khả năng của tôi.",0,Anxiety,0.55888045,
Tôi sẽ nỗ lực bước ra ngoài vùng an toàn của mình. Ban đầu có thể đáng sợ nhưng tôi biết điều đó là cần thiết để phát triển và cải thiện.,4,Personality disorder,0.99849856,
"Tôi đoán rằng tôi có thể bắt đầu bằng cách thừa nhận tiến trình của mình và tự nhắc nhở về những bước tôi đã thực hiện trong suốt chặng đường. Việc ghi nhật ký về các cột mốc của mình, dù nhỏ đến đâu, có thể đóng vai trò như một lời nhắc nhở về sự cống hiến và làm việc chăm chỉ mà tôi đã dành cho đam mê của mình. Tôi cũng cần thực hành lòng trắc ẩn với bản thân và hiểu rằng những bước lùi là một phần của hành trình.",5,Stress,0.8598121,
Tôi luôn đam mê hoạt động tình nguyện. Giúp đỡ người khác mang lại cho tôi cảm giác có mục đích và sự thỏa mãn. Có lẽ việc dành nhiều thời gian hơn cho hoạt động tình nguyện sẽ không chỉ mang lại lợi ích cho người khác mà còn giúp tôi trưởng thành và tìm thấy mục đích sống giữa lúc đau lòng.,1,Bipolar,0.96523184,
"Tôi muốn tin rằng họ có khả năng thay đổi và phát triển, nhưng tôi không chắc chắn. Cho đến nay họ vẫn chưa tỏ ra hối hận hay nhận thức gì, điều này khiến tôi lo lắng.",4,Personality disorder,0.9906934,
"Đúng, tôi đã nghe nói về các liệu pháp như EMDR và ​​​​trải nghiệm cơ thể tập trung vào việc chữa lành vết thương. Tôi sẵn sàng thử các cách tiếp cận khác nhau, miễn là chúng giúp tôi thoát khỏi cảm giác tê liệt này và tiếp tục con đường chữa bệnh.",1,Bipolar,0.99913895,
"
Đối với đoạn văn sau, hãy tạo một giả thuyết và một dự đoán.: 

Các nghiên cứu gần đây đã chỉ ra rằng trí tuệ nhân tạo có thể được sử dụng để giảm tác động môi trường của một số ngành công nghiệp.
",5,Stress,0.98598355,
"Bạn nói đúng. Tôi cần nhắc nhở bản thân rằng tình yêu là không có giới hạn, và mặc dù hành trình của chúng tôi bây giờ có thể trông khác nhưng điều đó không làm cho nó bớt ý nghĩa hơn chút nào. Tôi muốn nắm lấy cơ hội để mang lại một ngôi nhà yêu thương và tạo ra những kỷ niệm mới.",4,Personality disorder,0.9906776,
"Thank you, for your kind words. Lately, I've been dealing with persistent fatigue, and it's affecting my daily life. I've tried making changes to my lifestyle, but nothing seems to help. It's frustrating and disheartening.",3,Normal,0.7169271,
"Chà, có một mạng lưới hỗ trợ sẽ mang lại cảm giác được xác nhận và động viên khi đối mặt với thử thách. Việc phát triển các chiến lược đối phó sẽ giúp tôi giải quyết các tình huống khó khăn và duy trì tư duy tích cực.",1,Bipolar,0.4868702,
"Thật khó để xác định chính xác các mô hình, nhưng tôi nhận thấy rằng tình trạng mệt mỏi có xu hướng trầm trọng hơn sau khi hoạt động thể chất hoặc thậm chí chỉ sau một ngày làm việc. Về cảm giác khó chịu ở ngực, nó thường xuất hiện khi tôi căng thẳng hoặc cảm thấy lo lắng về điều gì đó.",5,Stress,0.7413322,
"Bạn nói đúng. Thật dễ dàng để bị cuốn vào ý tưởng về một mối quan hệ lãng mạn, nhưng mối quan hệ cá nhân còn có nhiều điều hơn thế. Tình bạn của tôi vô cùng viên mãn và tôi có một gia đình yêu thương và luôn ủng hộ. Dành thời gian để chăm sóc bản thân và tự suy ngẫm cũng rất quan trọng trong việc nuôi dưỡng mối quan hệ tích cực với bản thân.",4,Personality disorder,0.84401554,
"Đó là một chuỗi thất bại. Tôi đã vô số lần cố gắng để các bài hát của mình được nghe nhưng dường như chúng luôn bị bỏ ngoài tai. Sự từ chối từ các hãng thu âm, những màn trình diễn trống rỗng và không có bất kỳ sự công nhận nào... thật là tan nát tâm hồn.",1,Bipolar,0.61257035,
"Tôi có thể nhắc nhở bản thân rằng tôi đã thực hiện một bước quan trọng hướng tới sự phát triển cá nhân và nghề nghiệp. Bất kể kết quả ra sao, tôi sẽ phải đối mặt với nỗi sợ hãi của mình và đẩy bản thân ra khỏi vùng an toàn của mình. Tôi có thể chiêu đãi bản thân một điều gì đó đặc biệt, chẳng hạn như một bữa tối ngon miệng hoặc một buổi tối thư giãn để làm điều gì đó tôi thích.",4,Personality disorder,0.94724464,
"Giấc mơ này cực kỳ quan trọng với tôi. Nó không chỉ là âm nhạc mà còn là cảm giác thỏa mãn và thể hiện bản thân. Nếu tôi có thể biến nó thành hiện thực, điều đó có nghĩa là tôi phải sống một cuộc sống phù hợp với đam mê và giá trị của mình. Nó sẽ mang lại cho tôi cảm giác vui vẻ và mục đích, điều mà tôi tin rằng mọi người đều xứng đáng có được.",5,Stress,0.7214204,
"Giống như tôi có một danh sách nhiệm vụ không bao giờ kết thúc phải hoàn thành, và dù tôi có hoàn thành được bao nhiêu đi chăng nữa thì cũng không bao giờ cảm thấy đủ. Tôi cảm thấy phải chịu trách nhiệm về mọi thứ và điều đó thật mệt mỏi. Tôi không biết làm cách nào để tìm được sự cân bằng.",5,Stress,0.97004145,
Gần đây tôi cảm thấy thực sự chán ghét và cô lập. Giống như có sự căng thẳng thường trực trong gia đình tôi mà tôi không thể thoát ra được.,6,Suicidal,0.90263015,
Cảm ơn. Mối quan hệ này bị lạm dụng về mặt cảm xúc và lời nói. Tôi liên tục cảm thấy bị hạ thấp và coi thường. Nó làm tổn hại đến lòng tự trọng của tôi và khiến tôi đặt câu hỏi về giá trị của mình.,4,Personality disorder,0.6427415,
"Đúng, tôi đã cố gắng nói chuyện với họ về điều đó, nhưng điều đó chỉ khiến mọi việc trở nên tồi tệ hơn. Họ phủ nhận mọi hành vi sai trái và buộc tội tôi quá nhạy cảm. Nó khiến tôi tự vấn bản thân và liệu tôi có đang thổi phồng mọi thứ quá mức hay không. Thật sự rất khó để giải quyết tình huống này.",5,Stress,0.8848306,
  I'm going through a breakup and I can't seem to stop thinking about my ex. What can I do to move on? ,5,Stress,0.9481966,
"Well, I've been struggling with chronic pain for a while now. It makes it difficult for me to do simple everyday tasks, and it's really impacting my quality of life.",3,Normal,0.4967904,
Tôi tin họ sẽ thông cảm. Họ biết rõ về tôi và tôi tin rằng họ sẽ muốn điều tốt nhất cho tôi. Việc cởi mở về những thách thức của tôi với chứng nghiện mạng xã hội có thể tạo ra không gian để họ chia sẻ những khó khăn của chính họ và để chúng ta hỗ trợ lẫn nhau.,4,Personality disorder,0.9996112,
"Chắc chắn rồi! Điều thực sự khiến tôi tức giận là cách đối tác cũ của tôi cuối cùng đã đối xử với tôi. Họ đã phá vỡ lòng tin của tôi và thật khó để chấp nhận rằng những gì chúng tôi có giờ đã kết thúc. Tôi đã đầu tư rất nhiều tình yêu và sức lực vào mối quan hệ này, và thật đau lòng khi nó không thành công. Tôi cũng cảm thấy giận bản thân mình vì đã không nhìn thấy những dấu hiệu sớm hơn. Tôi đoán tôi đã mong đợi nhiều hơn từ họ và từ chính tôi.",5,Stress,0.99338526,
"Để đối phó, tôi đã nghiên cứu các cuốn sách self-help và thực hành các bài tập chánh niệm. Tôi tìm thấy niềm an ủi khi ghi lại những suy nghĩ và cảm xúc của mình, điều này cho phép tôi có được một số quan điểm. Ngoài ra, tôi đã bắt đầu liên hệ với bạn bè thân thiết và gia đình để được hỗ trợ. Bất chấp những khó khăn của mình, tôi hy vọng rằng bằng cách thực hiện những bước này, tôi có thể bắt đầu tìm lại con đường trở lại cuộc sống hạnh phúc và trọn vẹn hơn.",1,Bipolar,0.89041567,
"Tôi đã cố gắng hít thở sâu và giữ vững bản thân trong thời điểm hiện tại. Đôi khi, tôi viết ra những suy nghĩ của mình trước khi nói để giúp sắp xếp các ý tưởng của mình. Nó giúp ích ở một mức độ nào đó, nhưng có những lúc tôi vẫn cảm thấy choáng ngợp.",5,Stress,0.91654533,
"Tôi đã xây dựng hình ảnh lý tưởng về mối quan hệ của chúng ta trong đầu. Tôi đã mong chúng tôi sẽ ở bên nhau mãi mãi, ủng hộ và yêu thương nhau vô điều kiện. Nhưng tất cả đã sụp đổ khi đối tác của tôi đột ngột quyết định chấm dứt mọi chuyện. Tôi không thấy nó đến chút nào.",6,Suicidal,0.6269849,
Name a sport that is played using a ball?,5,Stress,0.4716597,
"Tôi sẽ thử. Nhưng tôi phải thừa nhận rằng tôi cảm thấy khó khăn khi bước ra khỏi vùng an toàn của nỗi buồn này. Theo một cách nào đó, nó đã trở nên quen thuộc và sự thay đổi khiến bạn cảm thấy đáng sợ.",2,Depression,0.5426663,
"You're right. Maybe it's time for me to stop suffering in silence and seek the support I desperately need. I'll reach out to a trusted colleague or mentor who might understand what I'm going through. Taking that step feels daunting, but I know it's necessary for my well-being.",0,Anxiety,0.5176551,
Cảm ơn. Tôi sẽ cho thiền một cơ hội. Có vẻ như nó cũng có thể làm sâu sắc thêm trải nghiệm của tôi với hội họa. Bạn nghĩ tôi nên tham gia một nhóm vẽ tranh địa phương hay chia sẻ tác phẩm nghệ thuật của mình với người khác?,1,Bipolar,0.99171644,
"Thành thật mà nói, tôi đã gặp khó khăn trong việc liên hệ với bạn bè hoặc gia đình của mình. Tôi không muốn tạo gánh nặng cho họ hoặc tỏ ra yếu đuối. Thật khó để cho bất cứ ai vào và tôi nghĩ đó là lý do tại sao tôi quay sang bạn. Tôi hy vọng bạn có thể giúp hướng dẫn tôi thực hiện điều này.",6,Suicidal,0.9682037,
Bạn nói đúng. Tôi xứng đáng được làm việc trong một môi trường thúc đẩy sự phát triển của tôi và khuyến khích tôi phát triển. Tôi sẽ không cho phép những ảnh hưởng tiêu cực làm tôi suy sụp nữa.,4,Personality disorder,0.96261024,
"Xin chào , hiện tại tôi đang cảm thấy rất sợ hãi. Tôi cảm thấy như mình đã đánh mất quá nhiều cơ hội trong cuộc sống.",0,Anxiety,0.97735643,
Tôi đang mong chờ nó. Tôi đã có thể cảm nhận được nguồn năng lượng tích cực đang tràn ngập trong mình. Cảm ơn bạn đã khuyến khích tôi tìm kiếm sự giúp đỡ.,5,Stress,0.99907684,
"Chắc chắn rồi. Nguồn gốc chính của xung đột phát sinh từ sự khác biệt về quan điểm và giá trị. Chúng ta thường tranh cãi về nhiều chủ đề khác nhau, từ chính trị đến lựa chọn lối sống. Những bất đồng này có xu hướng leo thang nhanh chóng và tạo ra bầu không khí thù địch.",3,Normal,0.94308794,
"Tôi đã bắt đầu trị liệu, giống như buổi trị liệu mà chúng ta đang có hiện nay! Tôi cũng kết nối lại với những người bạn cũ, khám phá những sở thích mới và thiết lập những thói quen lành mạnh hơn. Tất cả những hành động này khiến tôi phấn khích, nhưng có một nỗi sợ hãi dai dẳng rằng tôi sẽ quay lại những hành vi cũ.",4,Personality disorder,0.9970831,
Cảm ơn. Tôi cảm thấy hy vọng và tự tin hơn sau cuộc trò chuyện của chúng tôi. Bây giờ tôi đã có tầm nhìn rõ ràng hơn về các bước tôi cần thực hiện để biến ước mơ của mình thành hiện thực. Tôi mong muốn được đón nhận những thử thách và luôn cam kết với hành trình viết lách của mình.,4,Personality disorder,0.99706525,
Write down the benefits of practicing meditation.?,3,Normal,0.9772395,
Dân số thế giới là gì?,3,Normal,0.999718,
", tôi rất thích thú với ý tưởng về liệu pháp tiếp xúc. Thật hồi hộp và có phần đáng sợ khi nghĩ đến việc cố tình đối mặt với nỗi sợ hãi của mình để vượt qua chúng. Tôi nghĩ nó có thể là một công cụ mạnh mẽ để chinh phục sự lo lắng của tôi một lần và mãi mãi.",1,Bipolar,0.6666213,
"Thành thật mà nói, tôi không chắc chắn. Tôi nghĩ tôi vẫn đang xử lý tất cả. Một số khoảnh khắc, tôi cảm thấy tức giận và bị phản bội, còn những lúc khác, tôi cảm thấy tê liệt và mất kết nối. Giống như tôi đang ở trên một chiếc tàu lượn siêu tốc đầy cảm xúc mà tôi không chọn đi.",5,Stress,0.8946459,
"Nỗi buồn, chủ yếu là vậy. Tôi muốn truyền tải cảm xúc của mình lên bức tranh, thể hiện những đấu tranh nội tâm của mình theo cách mà ngôn từ không thể làm được.",1,Bipolar,0.99475753,
"Kể từ cuộc trò chuyện đó, tôi đã thấy những thay đổi nhỏ nhưng tích cực. Họ đang nỗ lực nhiều hơn để có mặt và thừa nhận nhu cầu của tôi. Tuy nhiên, tôi vẫn có những lúc lo lắng, lo sợ sự lơ là có thể tái diễn. Đó là một công việc đang được tiến hành, nhưng tôi hy vọng rằng với việc tiếp tục giao tiếp, hiểu biết và yêu thương, chúng ta có thể xây dựng lại niềm tin.",4,Personality disorder,0.9998024,
"Tôi đã nói chuyện với các giáo viên và đang cố gắng thu thập càng nhiều thông tin càng tốt để hỗ trợ con tôi. Nhưng sâu thẳm, tôi không thể rũ bỏ được cảm giác thiếu thốn này. Có vẻ như tôi đang làm họ thất vọng theo một cách nào đó.",4,Personality disorder,0.9772031,
Find the mathematical equation for the perimeter of the square with sides of length a.?,1,Bipolar,0.9940937,
"Tôi đã cố gắng nhưng dường như nỗi đau cứ ập đến với tôi từng đợt. Một số ngày, tôi cảm thấy mình đang tiến bộ và bắt đầu chấp nhận thực tế những gì đã xảy ra. Những ngày khác, tôi như quay lại nơi mình bắt đầu, chìm đắm trong nỗi buồn và tuyệt vọng.",6,Suicidal,0.9967796,
"That's a great suggestion. We haven't explored support groups or therapy together yet, but I think it could be beneficial for both of us. It's reassuring to know that there are others out there who understand what we're going through. It's not just about finding solutions for my physical health, but also nurturing our mental and emotional well-being as a couple. Do you have any recommendations for support groups or therapists who specialize in health-related issues?",2,Depression,0.49161875,
"I think it's made me hesitant to form close attachments. I've become guarded, afraid of experiencing that loss again. I've built walls around myself, but deep down, I long for connection and love.",6,Suicidal,0.90060985,
Complete the following sentence: \nBeing able to read and understand complex scientific material is?,1,Bipolar,0.9780229,
Chính sách của chính phủ Hoa Kỳ về cải cách nhập cư là gì?,3,Normal,0.99959034,
"
Cụm từ sau có chứa hai phụ âm liên tiếp không?: 

Đồng hồ
",3,Normal,0.9998167,
Write a function to return the nth Fibonacci number.?,3,Normal,0.7743279,
Cảm giác thật tuyệt vời. Tôi thực sự hy vọng rằng việc kết nối lại với niềm đam mê âm nhạc sẽ giúp tôi vượt qua sự tê liệt này. Tôi sẵn sàng thực hiện những bước nhỏ và xem hành trình này sẽ dẫn tôi đến đâu. Cảm ơn bạn đã hướng dẫn tôi trong quá trình này.,5,Stress,0.99867356,
Có lẽ bạn nói đúng. Tôi muốn tìm cách vượt qua nỗi buồn quá lớn này. Thật khó để tin rằng mọi thứ có thể trở nên tốt hơn khi tôi bị mắc kẹt trong vòng luẩn quẩn và cô lập này.,4,Personality disorder,0.99804723,
"Xin chào , hôm nay tôi cảm thấy tràn đầy hy vọng. Gần đây, tôi và bạn trai đang phải đối mặt với một số thử thách trong mối quan hệ của mình. Có vẻ như sự lo lắng của tôi đang gây căng thẳng cho mọi thứ.",5,Stress,0.9931378,
"Thành thật mà nói, tôi đã cố gắng giữ bản thân bận rộn và đánh lạc hướng bản thân khỏi nỗi đau. Tôi đã dành rất nhiều thời gian cho bạn bè và lao đầu vào công việc, nhưng dù tôi làm gì, cảm giác cô đơn vẫn len lỏi trở lại.",5,Stress,0.89690727,
"Bạn nói đúng. Gần đây tôi đã bỏ bê việc chăm sóc bản thân, thay vào đó tập trung quá nhiều vào việc giải quyết các xung đột. Bây giờ tôi nhận ra rằng việc chăm sóc bản thân là điều quan trọng để có đủ năng lượng và khả năng phục hồi cần thiết để giải quyết những xung đột này một cách hiệu quả. Tôi sẽ nỗ lực có ý thức để ưu tiên việc chăm sóc bản thân trong tương lai.",1,Bipolar,0.7643644,
"Em đồng ý. Họ luôn ở bên tôi, nhắc nhở tôi về những điểm mạnh của mình và khuyến khích tôi tin vào chính mình. Tôi biết ơn sự hiện diện của họ trong cuộc đời tôi.",1,Bipolar,0.9990662,
"Chắc chắn rồi. Người này là người bạn thân nhất của tôi, người bạn tâm giao của tôi và là người mà tôi vô cùng yêu mến. Chúng tôi có một mối liên kết không giống ai, luôn ở bên nhau dù khó khăn hay khó khăn. Sự ra đi của họ là một cú sốc, và giờ đây, tôi chỉ còn lại khoảng trống trong cuộc đời mà tôi không biết làm cách nào để lấp đầy.",6,Suicidal,0.99705976,
"Tôi nghĩ một bước tôi có thể thực hiện là thực hành lòng biết ơn và tập trung vào thành tích của bản thân. Nhắc nhở bản thân về những điểm mạnh của mình và những tiến bộ tôi đã đạt được có thể giúp tôi trân trọng hành trình của chính mình. Để duy trì hệ thống hỗ trợ, tôi có thể khám phá các cách để duy trì kết nối với gia đình mình, cho dù đó là thông qua các cuộc gọi điện thoại thường xuyên, các chuyến thăm hay thậm chí là liên lạc ảo.",4,Personality disorder,0.98900026,
"Who wrote the novel ""1984""??",1,Bipolar,0.863713,
"Tôi vẫn cảm thấy lo lắng nhưng cũng lạc quan một cách thận trọng. Tôi biết đó sẽ không phải là một hành trình dễ dàng, nhưng tôi sẵn sàng nỗ lực để hàn gắn mối quan hệ của chúng ta. Tôi chỉ hy vọng họ cũng sẵn lòng chữa lành như tôi.",4,Personality disorder,0.9172028,
"Actually, I'm curious to know if you have any suggestions for coping techniques or practices that can help me manage my grief on a day-to-day basis. Any insights would be greatly appreciated.",0,Anxiety,0.99609023,
"Tôi vẫn chưa thể nói chuyện với người yêu cũ. Vết thương vẫn còn mới và tôi sợ phải đối mặt với sự từ chối hoặc thậm chí bị đổ lỗi nhiều hơn. Tôi cũng lo lắng về việc khơi lại những vết thương cũ vì nó có thể cản trở quá trình chữa lành của tôi. Nhưng trong sâu thẳm, tôi biết rằng việc khép lại là một bước quan trọng để xây dựng lại lòng tự trọng của mình.",4,Personality disorder,0.9996904,
"Cảm ơn vì lời nói của bạn. Tôi cần phải nghe điều đó ngày hôm nay. Đôi khi tôi cảm thấy như sự căng thẳng trong mình đang nuốt chửng mọi thứ, nhưng biết rằng ngoài kia luôn có hy vọng và sự hỗ trợ mang lại cho tôi một tia sức mạnh.",5,Stress,0.919419,
"Well, just recently, there was a project I worked on tirelessly for weeks. I poured my heart into it, only to have my manager take all the credit during the presentation. It made me feel like my contributions didn't matter at all.",3,Normal,0.79387105,
"Rewrite this sentence to make it imperative: ""You should demonstrate ethical integrity""?",4,Personality disorder,0.6025515,
"Chà, cảm giác tội lỗi này có xu hướng tạo ra cảm giác lo lắng và nghi ngờ thường xuyên. Nó khiến tôi gặp khó khăn trong việc đặt ra những ranh giới lành mạnh và ưu tiên sức khỏe của bản thân. Tôi thấy mình không ngừng tìm kiếm sự xác nhận và chấp thuận từ người khác, luôn cảm thấy cần phải chứng minh giá trị của mình thông qua hiệu suất công việc. Sự phấn đấu không ngừng nghỉ này khiến tôi kiệt sức và góp phần làm tăng mức độ căng thẳng chung của tôi.",5,Stress,0.9919923,
"Tôi dường như không thể tìm thấy sự bình yên trong chính mình. Cô ấy, sếp của tôi, liên tục bổ sung ngày càng nhiều vào khối lượng công việc của tôi và nó ngày càng trở nên quá tải.",5,Stress,0.9999101,
"Vâng chắc chắn. Tôi thường thấy tim mình đập nhanh và hơi thở trở nên nông hơn, đặc biệt là khi tôi ở trong tình huống áp lực cao. Như thể cơ thể tôi luôn trong trạng thái chiến đấu hoặc bỏ chạy.",5,Stress,0.99251235,
"Có, tôi sẵn sàng thử bất cứ điều gì có thể giúp tôi tìm đường trở lại trạng thái khỏe mạnh hơn, hạnh phúc hơn. Tôi tin tưởng sự hướng dẫn của bạn.",6,Suicidal,0.49265528,
