original,translated
"Don't worry, karma is there, hauuuhzzzz","Đừng lo, nghiệp quật đấy, ha..."
really worried but i don't know why,Lo lắm mà không biết vì sao.
Sometimes I worry about the future...At least for now I am still given the opportunity to be grateful and increase charity.,"Thi thoảng tôi cũng lo lắng về tương lai… nhưng ít nhất hiện tại, tôi vẫn còn cơ hội biết ơn và làm việc thiện."
"restless and restless, want to be angry","Bồn chồn không yên, muốn nổi giận."
"Oh God, why is it so hard to get to know new people now, scared, worried, worried... Tremors again. I'm so afraid of myself","Ôi Chúa ơi, sao giờ làm quen với người mới khó thế này, sợ quá, lo quá, lo quá… Lại run nữa rồi.  Tôi sợ chính mình quá."
Why are you restless at night..,Sao đêm nay anh/chị/bạn cứ trằn trọc mãi vậy?
Hoo so that's the problem that's been bothering me since Monday,"À, thì ra là thế, vấn đề này cứ ám ảnh tôi từ thứ Hai đến giờ."
"I hate that every time I worry again, stay up late again, worry again, stay up late again... I'm confused.","Mệt mỏi quá, cứ lo lắng rồi lại thức khuya, lo lắng rồi lại thức khuya…mình rối bời quá!"
"I swear my teacher is full of surprises, it makes me anxious","Thầy/cô giáo tôi toàn bất ngờ, làm tôi cứ lo lắng mãi."
"why when you're worried, it hurts so bad it's hot and cold","Sao khi lo lắng, lại đau đến nỗi nóng lạnh cả người?"
"Ado is nervous because he failed to damage the structure of the klrgo wong.  brags about your stepson. I'm still able to study until today, my parents paid for it. Ctek affects idk. Hanging out to drink and eat my edop? I'm not. Prcma bragging about your kprgo. My father is still able to keep his word.","Ado lo lắng vì phá hỏng klrgo wong không được,  còn cậu con riêng của anh ta thì cứ khoe khoang,  tôi vẫn học được đến giờ là nhờ bố mẹ chu cấp,  Ctek ảnh hưởng thế nào tôi không biết,  đi nhậu nhẹt với edop của tôi à? Không,  Prcma cứ khoe khoang về kprgo của anh ta,  còn bố tôi vẫn giữ lời hứa."
typing while crying & very worried,Đang gõ máy mà khóc nức nở và rất lo lắng.
"This is crazy, the contents of my head are so full that it makes me nervous when I take it down wkwkwk","Trời ơi, đầu óc mình đầy ắp đến nỗi sắp phát điên khi nghĩ đến việc phải ghi chép lại hết."
"just-have you ever been let down by your best friend to the point of feeling too anxious? I don't want to talk about him here, but I feel sorry for myself. like, girl i deserve better then this.","Tớ từng bị bạn thân phản bội đến mức lo lắng phát điên, giờ nghĩ lại thấy thương mình quá, kiểu như... tớ xứng đáng được đối xử tốt hơn thế này nhiều."
Is there anyone here who always feels restless every time they get older?,Có ai ở đây luôn cảm thấy bồn chồn mỗi khi lớn hơn không?
Can you worry too much or not disturb my sleep,Anh/Chị có thể đừng lo lắng quá và để tôi ngủ được không?
"It turns out that being too far from God is difficult, isn't it? The heart is restless, and everything becomes restless.","Hóa ra xa Chúa quá khó nhỉ? Tâm không yên, mọi thứ đều không yên."
"prolonged stress, overthinking, can't sleep, want to cry, restless, just lethargic :(","Mệt mỏi, lo nghĩ quá nhiều, mất ngủ, muốn khóc, bồn chồn, chỉ muốn nằm lì ra."
"Maybe these few days for you it's just normal or nothing, but you know what? One day feels really long for me after that happened, I always worry about what decision you want to make in the future, and when are you going to tell me that decision","Mấy ngày nay với em có lẽ bình thường thôi, nhưng với anh thì một ngày cũng dài đằng đẵng kể từ chuyện đó, anh cứ lo lắng không biết em sẽ quyết định thế nào và khi nào em mới nói cho anh biết."
"Day 3, I'm getting restless.. -FZR-","Ngày thứ ba rồi, mình bắt đầu sốt ruột quá."
"Isn't it weird when you suddenly enter the stage where you can't communicate with other people.. feeling lazy + anxious, it's one thing ²","Thật kỳ lạ khi bỗng dưng mình rơi vào trạng thái chẳng thể giao tiếp với ai, lại còn lười biếng và lo lắng nữa, đúng là một cực hình."
"It's morning, but I'm nervous, what's going on?","Sáng rồi mà tôi vẫn lo lắng, chuyện gì đang xảy ra vậy?"
I'm so nervous I feel why,Tôi hồi hộp đến nỗi không hiểu sao nữa.
"Don't worry about what you did yesterday, it's enough to be happy if you are able to accept it all.","Đừng lo lắng về những gì đã qua, được chấp nhận tất cả đã là hạnh phúc rồi."
sleep really restless duh don't like it,"Đêm qua ngủ không yên, chán ghê!"
I swear I've been feeling restless since morning,Tôi cứ bồn chồn mãi từ sáng đến giờ.
Galaxy opal giannis makes me cum,Viên đá Opal Galaxy của Giannis khiến tôi phát điên.
the harmonization HSUHSI â ¤ï¸,Sự hài hòa HSUHSI ❤️‍🩹
This morning feels like the wind is really Eid,Sáng nay gió như mang cả không khí Tết.
"here who likes to make fmv, what apps do you use?? I found a good song and thought I wanted to make a fmv like this",Có ai thích làm FMV không nhỉ? Mấy bạn dùng app gì vậy? Tớ tìm được bài hát hay muốn làm FMV theo kiểu này quá!
km or not me?,Đi hay không đi?
"4 years studying engineering, salary work like an operator, a real pig","Học kỹ sư bốn năm, lương thì làm công nhân, khổ thân!"
"Mutual Skuy. All Fandom, Sabi lah!! Help Rt/like yaa","Cùng nhau ủng hộ nha cả nhà, giúp retweet/like nhé!"
I don't hate it. But why do I have a grudge?,"Tôi không ghét nó, nhưng sao tôi lại ấm ức thế này?"
who's on vacation?,Ai đang nghỉ phép?
Amigos whats up?,"Bạn bè, có gì mới vậy?"
"Want to rant a little.. You know that if your friends are 'hostile' with your other friends, it's not a strange thing, this isn't the first time you've experienced something like this... but it still sucks, because both are important to me...","Muốn kể lể một chút… Biết là bạn bè mình “cạch mặt” nhau cũng chẳng lạ gì, đâu phải lần đầu gặp chuyện này… nhưng vẫn khó chịu, vì cả hai đều quan trọng với mình."
"There is a WA from an unknown number and he doesn't introduce himself, sorry, I won't reply.","Có tin nhắn WhatsApp từ số lạ không ghi tên, xin lỗi, mình không trả lời."
"Peace be upon you, O Messenger of Allah","Kính chúc Ngài bình an, Sứ giả của Thượng đế."
"check pin moots, thx u yaa!!","Kiểm tra tin nhắn của mọi người nha, cảm ơn nhiều!!"
Can't watch vivo for 4 more hours otw pls ™ƒ,"Phải 4 tiếng nữa mới xem được Vivo, làm ơn!"
como q se murio jyp q dicenn,Sao lại bảo JYP mất rồi?
help me make card dong,Giúp mình làm thiệp nhé.
the cycle; make wl â€“ got â€“ haven't arrived home yet i don't have a crush,Vòng quay cứ thế; làm việc – về – chưa về nhà – vẫn chưa thích ai.
"The rep is tar first, you want to cook with your favorite plates and pots that are waiting for you","Đại diện sẽ đến trước, bạn sẽ được nấu ăn với bộ nồi niêu xoong chảo yêu thích đang chờ bạn."
"Start your day with intention and a smile, because mood always affects your day. ️","Bắt đầu ngày mới với mục đích rõ ràng và nụ cười tươi, vì tâm trạng quyết định cả ngày."
ETDAHHH SHAME BET ME,Xấu hổ chết mất!
"Crazy!! I just woke up at 9.30, I already know I'm late for work, I can still tweet first hahaha","Trời ơi! Mới 9 giờ rưỡi mà dậy, đi làm muộn rồi, nhưng vẫn phải tweet đã, hahaha!"
Aren't you tired of living life without using your brain?,Chẳng mệt mỏi sao khi sống mà không động não?
"Please help, I'm still panicking. My glue gun just came out of fire I immediately fell to the floor","Cứu tôi với, tôi vẫn đang hoảng loạn, súng bắn keo của tôi vừa bị cháy và tôi lập tức ngã xuống sàn."
even though I don't do tiring activities but it can get sick -_- I don't understand anymore,"Dù chẳng làm gì mệt mỏi mà vẫn cứ ốm, chịu không nổi nữa!"
Josss,Tuyệt vời!
"This year I still get a gratuity, next year I will give 15 gratuity, which gives min gocap/cepe wow stress wallet w","Năm nay vẫn được thưởng, năm sau mình thưởng 15, hết hồn ví tiền quá!"
otw order this gofood,Mình đang đặt Gofood.
oh my god the temperature is rising again hdhshshs sad,"Ôi trời ơi, nhiệt độ lại tăng nữa rồi, buồn quá!"
I swear all of you,Tôi thề với tất cả các người.
"And only belongs to Allah the kingdom of the heavens and the earth. He forgives whom He wills, and will punish whom He wills. And Allah is Forgiving, Most Merciful. (Surat al-Fath [48]: 14) #Strive to uphold Sharia.","Chỉ có Allah mới là chủ tể của trời đất, Ngài tha thứ cho ai Ngài muốn và trừng phạt ai Ngài muốn. Allah là Đấng tha thứ, Đấng nhân từ vô lượng.  (Hãy nỗ lực gìn giữ Sharia.)"
Ya Allah I forgot that today I started fasting again EVEN WANT TO FRY EGGS,"Ôi Chúa ơi, tôi quên mất hôm nay lại là ngày ăn chay, mà thèm trứng rán quá!"
"coming home tired, the road from the parking lot to school is far away","Mệt mỏi trở về nhà, đường từ bãi đỗ xe đến trường sao mà xa thế."
"Insaan hi Insaan ko .Dass raha hai, .Saanp side mein .Baith kar hass raha hai","Con người đang hại con người, con rắn ngồi bên cạnh cười."
Was lamenting the stuck jnt package.,Đang buồn vì gói hàng jnt bị kẹt.
Grow up,Lớn lên đi.
Do you play Zepeto? Let's be mutual? Just drop your id <3,"Chơi Zepeto không? Kết bạn đi, cho ID mình nha <3"
"if there is following this account, then I'm afraid to make a connection","Nếu tài khoản này có người theo dõi, tôi ngại kết nối."
I rarely hug mom,Mình ít khi ôm mẹ.
"What's the protest, my dog ​​doesn't tw","Chuyện gì đang xảy ra vậy, con chó nhà tôi không làm sao cả."
"body comparison that doesn't make sense, I'M CRAZY Screaming","So sánh thân thể vô lý, TÔI ĐANG PHÁT ĐIÊN gào lên!"
Sraaahhhhh 150 ms,"Rầm một cái, mất 150 mili giây."
"Possessive right, afraid it won't work, boss?","Sợ quyền sở hữu này không hiệu quả, sếp?"
I suddenly feel sick #.,Tôi đột nhiên thấy buồn nôn.
"I'm a bit tired, all the raya cookies, I made just one person – my brother is the lazy one","Mệt nhoài rồi, làm cả đống bánh Raya mà chỉ có mỗi anh em mình ăn, hắn lười lắm!"
Just finished the play,Vừa xem xong vở kịch.
what time is mv dream released?,Phim của tôi ra mắt lúc mấy giờ vậy?
"ded, Wednesday presentation of 2 cases :')","Ôi dào, thuyết trình hai case vào thứ Tư này :')"""
"Now I always wake up regularly, sit ups 3 x 15 reps, stretching, and push ups 2 x 30 reps …","Giờ mình dậy đúng giờ, tập bụng 3 hiệp mỗi hiệp 15 lần, tập giãn cơ, và hít đất 2 hiệp mỗi hiệp 30 lần…"
"I have 2 songs recommendation now I forget about it because it was just extended by Apple Music Now, so I forgot to regret it",Mình định recommend hai bài hát nhưng quên mất rồi vì Apple Music vừa mới cập nhật nên mình quên cả việc tiếc nuối nữa.
"Damn the Honda car, I'm a slave, I've only done it for a month to borrow hahahaha","Chết tiệt cái xe Honda, tao thành nô lệ rồi, mới làm có tháng mà phải đi vay tiền, hahaha!"
Still at home,Vẫn ở nhà.
I continue to not be disappointed after I asked to follow this. Monday blues what????,Tôi vẫn thấy không hối hận khi theo dõi điều này.  Thứ Hai uể oải gì chứ?!
"press like to be friends with ava seulgi, neeways don't forget to check","Thích bài viết để làm bạn với Ava Seulgi nha, nhớ xem nữa đó!"
Heh?,Hả?
Mask people,Những kẻ đeo mặt nạ.
Okay done mama,Được rồi mẹ.
tenage time,Thời thanh xuân.
Bae!,Dạ em!
Whats up brother,Chuyện gì thế bạn?
Okay done my brother,Được rồi anh.
Keep Sabr!,Hãy kiên nhẫn!
SABAR MANDI DULU BARU MAU HYPE,"Chờ đã, hype sau."
I will go switzerland,Tôi sẽ đi Thụy Sĩ.
"It's good to be eye literate, receive 300 thousand","Thật tuyệt khi am hiểu thị trường, thu về 300 nghìn."
"Let's start again, no one replies to my chats","Mình bắt đầu lại thôi, chẳng ai trả lời tin nhắn của mình cả."
"fck zooming in for more than an hour has been postponed, when people are gone, they just respond, it's not clear 'Ž","Chán chết, việc zoom cả tiếng đồng hồ bị hoãn rồi, người ta đi hết mới trả lời, chẳng hiểu sao nữa!"
"This girl, if she wears a hood, she's wearing a snowcap, I look like a girl, it's not true","Cô gái này, nếu đội mũ trùm đầu thì lại đội mũ len, trông tôi giống con gái, không phải đâu."
I give up!,Tôi chịu!
Boey 101,Bách khoa toàn thư Boey.
Hate the dream doesn't end,Ghét cái giấc mơ không bao giờ kết thúc.
"look at the template, TT 1 typo","Nhìn mẫu này, thiếu một lỗi đánh máy."
Wanna eat first?,Ăn trước đi nhé?
Want to take a shower first,Muốn tắm trước đã.
Just on again,Lại nữa rồi.
"After studying the diversity of students and having an overview of the characteristics of students, we can make a learning plan that is appropriate and can accommodate all the diversity that exists in the class..#GBBInclusive #PendidikanInlusif","Hiểu được sự đa dạng và đặc điểm của học sinh, chúng ta có thể lập kế hoạch học tập phù hợp và bao trùm mọi sự khác biệt trong lớp."
"Alhamdulillah, there are many who are caring. I is sebak. Sobsob :,)","Tạ ơn Chúa, có nhiều người tốt bụng, lòng mình tràn ngập cảm xúc."
"""Dear women"" Later on Eid, don't ask for forgiveness, okay.. women are always right.","Chị em ơi, lễ xong đừng xin lỗi nhé, phụ nữ luôn đúng mà."
crying again..,Lại khóc rồi…
Bj! Need who can analyze the application for judicial review of the Court. drop v plsss,Cần người phân tích đơn kháng án gấp!
"nctn! Is there anyone who will restock the reusable cup js or not, will there be a budget later because huhu:"") or can someone book a small slot, pay right away, thanks","Ôi trời ơi! Có ai chịu đi đặt thêm cốc tái sử dụng hay không thế, hay là lát nữa mới có kinh phí, huhu :(  Hoặc ai đó đặt giúp một ít đi, trả tiền ngay luôn nhé, cảm ơn!"
Nabihah Iqbalâ€”Zone 1 to 6000,Nabihah Iqbal: Từ khu vực 1 đến 6000.
"If you arrive in Indonesia, how much will it be?","Nếu đến Indonesia, hết bao nhiêu tiền?"
Is jealousy normal?,Ghen tuông có phải là chuyện bình thường không?
My brother will definitely get it,Anh trai tôi nhất định sẽ có được nó.
Dreamies that CB I'm excited about,Những giấc mơ mà tôi háo hức chờ đợi.
"Come on, what do you say to dreamies","Thôi nào, bánh mì kem có ngon không?"
"Who is koro koro this morning """,Sáng nay ai ồn ào thế?
"You don't have to know, ayuri, you don't have to know.","Ayuri, không cần biết đâu, không cần biết đâu."
Morning,Chào buổi sáng.
"The difference is small, the big one is humanity","Sự khác biệt nhỏ thôi, điều quan trọng là tình người."
"eh, haven't bought an envelope yet, oh my God –..BUTTEREADY ON BBMAS ..I vote for 'BTS' #Dynamite for ( Son Sung Deuk ) for #FaveChoreography at #iHeartAwards","Ôi trời, chưa mua phong bì nữa, nhưng mà BTS đã vào đề cử BBMAs rồi! Mình đang vote cho ""Dynamite"" của họ (Son Sung Deuk) cho hạng mục Biên đạo múa được yêu thích nhất tại #iHeartAwards."
"NCT DREAM MILLION SELLER. The youngest child is officially a millon seller very happy ², let's be double millon seller for dreamies..Sijeuni is also welcome for later and thank you very much for sijeuni for making dremies become million seller luv u sijeuniðŸ' 'š","NCT DREAM đã bán được triệu bản!  Em út chính thức là triệu phú, vui gấp đôi luôn!  Cùng hướng đến hai triệu bản nào, Dreamies!  Cảm ơn Sijeuni rất nhiều, yêu các bạn!"
this seems to be a flop ”,Dường như vụ này thất bại rồi.
como q jyp palmo,Sao JYP lại làm thế?
"I miss feeling the atmosphere while walking around, there are people selling lemang at the edge of the road ""","Tôi nhớ cảm giác dạo chơi, ngắm nhìn mọi người bán Lemang ven đường."
"ML! In your opinion, who is the most worth it starlight skin, guys?","Theo các bạn, skin starlight nào đáng mua nhất nhỉ?"
Is tl alive for dsmp sona art? :D,Fanart DSMP cho sona còn hoạt động không nhỉ? :D
Kim Seokjin...,Kim Seokjin…
Hey I'm back,Mình về rồi.
I miss you,Tôi nhớ bạn.
this chick is so cute,Con bé này dễ thương quá!
'™ morning bi! does anyone have au moonbae or not??,Chào buổi sáng Bi! Có ai có moonbae không??
Sorry for being late,Xin lỗi vì đến muộn.
"Hurry up for sahur. where is my water? It's crazy how fast I cook, I want fried rice from the eye egg villageâ€ .. it's fun to play with these requests hahahah I'm not a wife yet","Nhanh lên bữa sahur nào, nước đâu rồi?  Nấu ăn nhanh kinh khủng, mình muốn ăn cơm rang làng trứng mắt ấy!  Đùa với mấy yêu cầu này vui thật, hahaha, chưa vợ nhé!"
"[bb] If after waxing, what should I wear? or what good?",Chăm sóc da sau khi waxing thì nên mặc gì cho tốt nhỉ?
joder yoongi te amo granny,"Trời ơi Yoongi, bà yêu anh!"
we love ni-ki,Chúng mình yêu Nicky.
let's talk about this,Mình nói chuyện về chuyện này nhé.
it's complicated,Rắc rối lắm.
"The closer I get to Eid, the more resigned I am to the exam, I don't know what to answer wkkwwk what's the deal ²ðŸ »","Càng gần đến ngày lễ Eid, tôi càng cam chịu với bài kiểm tra, không biết trả lời sao nữa, hu hu."
Helloooooooo 7 hours left,Chào ơ… còn 7 tiếng nữa!
can't go to Eid prayer again huft,"Lại không đi lễ Eid được nữa, chán quá!"
ihhh gile if the co album itself from ktown is very expensive the shipping is gone. total shopping w 19.21 USD trs shipping is 20.07 USD.,"Ối giời ơi, album Ktown đắt thật, phí ship lại còn cao nữa chứ, tổng cộng 19.21 USD mà phí ship đã 20.07 USD rồi!"
remember me and bananas imagining levi being a policeman at the homecoming guard post and hanging on reckless... in the end they got into a fight...,"Nhớ tôi và chuối nhé, tưởng tượng Levi làm cảnh sát ở chốt trực lễ hội rồi lại làm liều… cuối cùng hai người đánh nhau mất…"
i love ni-ki,Tôi yêu Ni-ki.
"0822-3060-4598, Benhut Blue Polos T-shirt, Blue Polos T-shirt Front and Back #kaospolos #kaosgildan","Áo phông polo Benhut màu xanh dương, số điện thoại đặt hàng: 0822-3060-4598 (ảnh trước và sau) #kaospolos #kaosgildan"
"Be patient, tick :') remember, the installment hasn't been paid off yet.","Kiên nhẫn nào, cưng :') nhớ là tiền trả góp vẫn chưa xong nha."
"Dreamies nunna is so proud of you guys, it's not in vain, I waited 5 years to get my 1st full album and then it's 7 dreams. You all deserve this. Thanks for our dreamzen fellas","Mẹ Dreamies rất tự hào về các con, những nỗ lực của các con không uổng phí, mẹ đã chờ 5 năm mới có được album đầu tiên và giờ là 7 giấc mơ rồi. Các con xứng đáng với điều này. Cảm ơn các Dreamzen nhé!"
Monday's turn feels like Sunday,Thứ Hai mà cứ như chủ nhật.
THANKS TO CRES FOR PAIDING MY WL PC,Cảm ơn CRES đã trả tiền máy tính của mình.
telepathy???????,Thần giao cách cảm?????
Alhamdulillah for our parents,Cảm ơn Chúa vì cha mẹ chúng ta.
"""I'm proud to be married to you."" I said when I was expecting Koco","Lúc mang bầu Koco, anh đã nói rằng anh tự hào vì được cưới em."
"It's Mother's Day but I'm in pain from noon to night. I massaged at the new place, after that, I went to buy stuff and I got dizzy and dizzy for more than 2 hours. Until the house is brave, don't cook to open it. Pstu Hbs Isha, Tuam Ais' husband at 4 places who is crazy sick. skit relief. But still sick","Ngày của mẹ mà từ trưa đến tối em đau muốn chết, đi massage ở chỗ mới xong lại đi mua đồ rồi chóng mặt không biết gì hơn hai tiếng, về đến nhà vẫn mệt nhoài, chẳng nấu nướng được gì.  Chồng em ở tận bốn nơi, ốm nặng quá, giờ đỡ chút rồi nhưng vẫn chưa khỏi hẳn."
Hi! Text me,Alo! Nhắn tin cho mình nha!
why are my friends bored with life,Sao bạn bè mình lại chán sống thế?
