statement,predicted_label_id,predicted_status,confidence
"Tôi có thể cố gắng giữ bình tĩnh và tập trung, đảm bảo với họ rằng tôi không đổ lỗi cho họ về cảm giác của tôi. Tôi có thể nhấn mạnh tầm quan trọng của cả hai đối với tôi và tôi chỉ cần sự hỗ trợ của họ trong thời gian thử thách này.",6,Suicidal,0.1725231
"Nghe có vẻ là một cách tiếp cận hợp lý và tôi đánh giá cao sự hướng dẫn của bạn. Tôi biết điều đó sẽ không dễ dàng, nhưng tôi sẵn sàng nỗ lực và thực hiện các bước cần thiết để hàn gắn tình bạn của chúng tôi. Tôi chỉ hy vọng họ cũng cởi mở với nó.",5,Stress,0.18203819
Tôi đã nói chuyện với một vài người bạn nhưng thật khó để họ thực sự hiểu được những gì tôi đang trải qua. Họ có ý tốt nhưng lời khuyên của họ không thực sự hữu ích. Tôi cần một người có thể hướng dẫn tôi vượt qua nỗi đau này.,6,Suicidal,0.18377598
Cảm ơn. Tôi đánh giá cao sự hướng dẫn và hiểu biết của bạn. Cuộc trò chuyện này đã cho tôi một số hy vọng và hướng đi. Tôi sẽ cố gắng hết sức để tiếp tục tiến về phía trước và không để nỗi sợ hãi cản trở mình.,6,Suicidal,0.17987116
Write a short story involving three characters from three different cultures.?,5,Stress,0.2102385
I felt an incredible sense of relief and pride in myself. It was a huge confidence boost.,5,Stress,0.19058436
I'll try my best to keep that in mind. I just hope I can regain some of that artistic spark I had when I was younger.,0,Anxiety,0.22241862
Explain how a neural network can be used to recognize handwritten words.?,4,Personality disorder,0.19492401
"Of course. These are friendships that have been built over the years, with people who have supported and understood me. I value these connections deeply, and the thought of losing them is terrifying.",1,Bipolar,0.21296258
Tôi đoán đó là vì anh ấy có vẻ quá hoàn hảo và tôi không thể không so sánh mình với anh ấy. Tôi luôn cảm thấy mình không đủ tốt.,4,Personality disorder,0.216025
Điều đó nghe có vẻ hữu ích. Tôi đoán đã đến lúc tôi phải ưu tiên bản thân và tìm kiếm sự hỗ trợ mà tôi cần. Tôi xứng đáng được hạnh phúc trở lại và được chữa lành sau nỗi đau này.,1,Bipolar,0.17588308
"Tôi nghĩ hiện tại, đây có vẻ là một điểm khởi đầu tốt. Cảm ơn  vì đã lắng nghe và đưa ra hướng dẫn. Nó mang nhiều ý nghĩa với tôi.",0,Anxiety,0.19632569
Nó chắc chắn sẽ nâng cao lòng tự trọng của tôi và khiến tôi tin tưởng vào bản thân mình hơn. Tôi sẽ cảm thấy có khả năng và được trao quyền nhiều hơn để đảm nhận những thử thách bổ sung trong tương lai.,1,Bipolar,0.20518106
Dự đoán thời tiết sáng mai.,1,Bipolar,0.20965071
"Ừ chắc chắn. Tôi đang cố gắng tìm điều gì đó mới để làm, bạn biết đấy, một sở thích khơi dậy sự phấn khích trong tôi. Nhưng bất cứ khi nào tôi chia sẻ ý tưởng của mình với người khác, họ dường như không quan tâm hoặc phớt lờ chúng hoàn toàn. Nó khiến tôi cảm thấy bị từ chối và chán nản.",4,Personality disorder,0.18141523
"Chà, nếu tôi có thể hình dung giấc mơ của mình thành hiện thực thì đó sẽ là một cuộc sống mà tôi cảm thấy mãn nguyện và mãn nguyện. Tôi muốn tìm thấy mục đích và niềm đam mê thực sự của mình, có những mối quan hệ ý nghĩa được xây dựng trên sự tin tưởng và tạo dựng một sự nghiệp vui vẻ và thành công. Tôi muốn mỗi sáng thức dậy với cảm giác phấn khích và mong chờ ngày mới phía trước. Có phải đó là quá nhiều để yêu cầu?",5,Stress,0.21838482
Mọi chuyện bắt đầu khi chúng tôi bất đồng về một điều gì đó rất nhỏ nhặt. Nhưng nó đã leo thang nhanh chóng và bây giờ có cảm giác như chúng tôi thường xuyên mâu thuẫn với nhau. Tôi cảm thấy bất an vì sợ mất đi tình bạn của họ vì một điều gì đó quá nhỏ nhặt.,6,Suicidal,0.16528788
"Thành thật mà nói, tôi cảm thấy như mình đã mất liên lạc với những thứ tôi từng yêu thích. Chứng nghiện đã tiêu tốn phần lớn cuộc đời tôi đến nỗi tôi thậm chí không biết điều gì mang lại cho mình niềm vui nữa. Thật chán nản khi nhận ra nó kiểm soát tôi đến mức nào.",3,Normal,0.18413255
"Có vẻ như tôi không bao giờ có thể hoàn toàn ngắt kết nối với công việc, ngay cả khi tôi ở bên các con mình. Tôi liên tục suy nghĩ về nhiệm vụ, thời hạn và áp lực phải vượt trội. Tôi thấy mình nóng tính và không thể dành cho họ sự quan tâm mà họ xứng đáng có được.",5,Stress,0.1874614
  I'm having trouble with my partner and we're considering couples therapy. What can we expect? ,1,Bipolar,0.20564933
"Đúng, tôi thường lo lắng về việc bị đánh giá hoặc nói điều gì đó đáng xấu hổ. Những suy nghĩ này cứ lặp đi lặp lại trong tâm trí tôi, khiến tôi khó có thể thư giãn và tận hưởng. Tôi cố gắng tránh hoàn toàn những tình huống như vậy, điều này làm tôi buồn.",4,Personality disorder,0.20304827
"Một điều cuối cùng. Tôi nhận ra rằng nuôi dưỡng lòng từ bi với bản thân là điều cần thiết để nuôi dưỡng các mối quan hệ lành mạnh. Bằng cách thể hiện lòng tốt và sự đồng cảm với bản thân, tôi có thể làm điều tương tự với người khác. Đó là cách nuôi dưỡng tình bạn yên bình và trọn vẹn mà tôi hằng mong ước.",5,Stress,0.18150114
"I believe that practicing self-love will help me rebuild my self-esteem and overcome this fear of rejection. By nurturing myself, I can create a stronger foundation for future relationships.",3,Normal,0.18644303
"
Viết hàm tính tổng các số trong mảng cho trước: 

[1, 7, 4, -2, 9]
",0,Anxiety,0.18186857
"Hey , I hope you're doing well today. I just wanted to say that I am grateful for this opportunity to talk and for your guidance throughout this therapy process. It's not easy for me to open up and trust someone, but your presence and support have made it a little easier.",1,Bipolar,0.20230173
"Cảm ơn bạn đã nhắc nhở tôi về điều đó. Tôi thường quên rằng tìm kiếm sự giúp đỡ không phải là dấu hiệu của sự thất bại. Đó là một bước hướng tới một cuộc sống khỏe mạnh hơn, hạnh phúc hơn.",5,Stress,0.1818217
"Tôi cho rằng sẽ không hại gì khi thử. Nhưng điều gì sẽ xảy ra nếu bạn bè của tôi không sẵn lòng tìm kiếm sự giúp đỡ từ chuyên gia? Tôi không muốn mất họ, nhưng tôi cũng không muốn tiếp tục cảm giác như vậy.",2,Depression,0.16924752
It's just that everything feels so overwhelming lately. I'm stuck in a rut and I can't seem to find any joy or excitement in my daily routine.,4,Personality disorder,0.17218249
Tôi sẽ dành thời gian mỗi ngày để nhắc nhở bản thân về giá trị của mình và tìm kiếm sự hỗ trợ khi cần. Tôi sẽ ưu tiên bao quanh mình những ảnh hưởng tích cực và tham gia vào các hoạt động mang lại niềm vui cho tôi.,5,Stress,0.1886092
Tôi đoán tôi cần phải nhất quán và kiên quyết hơn với các quy tắc của mình. Thật khó khăn khi họ đẩy lùi.,4,Personality disorder,0.17547947
Cảm ơn bạn! Tôi sẽ giữ cho rằng trong tâm trí. Tôi nghĩ điều quan trọng đối với tôi là tiếp cận sở thích này với tinh thần tò mò và vui tươi. Đó không phải là trở nên hoàn hảo ngay từ đầu mà là tận hưởng cuộc hành trình và đắm mình trong nghệ thuật nhiếp ảnh.,6,Suicidal,0.16224204
"Tôi có thể cho anh ấy biết rằng tôi ở đây để lắng nghe mà không phán xét, quan điểm và cảm xúc của anh ấy là có căn cứ. Tạo ra một môi trường không phán xét và hỗ trợ là rất quan trọng để giao tiếp cởi mở và trung thực.",5,Stress,0.1791164
"I guess I could give it a shot. It couldn't hurt, right?",0,Anxiety,0.18271051
"Vâng, điều đó sẽ hữu ích. Tôi nghĩ việc đặt ra những kỳ vọng rõ ràng về hành vi nào có thể chấp nhận được và truyền đạt chúng một cách quyết đoán có thể là điểm khởi đầu tốt. Điều quan trọng là tôi phải nhớ rằng tôi xứng đáng được đối xử tử tế và tôn trọng.",5,Stress,0.1756397
Tôi không chắc lắm. Có vẻ như đây là một vấn đề phức tạp và tôi không biết bắt đầu giải quyết tất cả từ đâu. Tôi đoán tôi chỉ muốn mọi việc được cải thiện và để gia đình tôi tìm ra cách giải quyết mâu thuẫn mà không gây ra quá nhiều đau khổ.,2,Depression,0.19249062
"Hội họa đã trở thành nơi tôn nghiêm của tôi. Khi tôi đắm mình vào quá trình sáng tạo, nó đưa tôi đến một thế giới đầy màu sắc và trí tưởng tượng, tạm thời giải tỏa gánh nặng trầm cảm. Nó cho phép tôi hướng cảm xúc của mình vào một điều gì đó đẹp đẽ và nâng cao tinh thần.",1,Bipolar,0.18159948
"I've been actively engaging in self-reflection. Whenever those negative thoughts creep in, I try to remind myself that they're remnants of my traumatic experiences and not an accurate reflection of who I am today. I've also been incorporating self-care practices into my routine, such as journaling, meditation, and surrounding myself with supportive friends. It's a continuous journey, but I'm committed to rebuilding my self-esteem.",5,Stress,0.17336582
"Cảm ơn  vì đã nêu bật việc tự chăm sóc bản thân. Đó là một khía cạnh quan trọng mà đôi khi tôi quên ưu tiên. Tôi hiểu rằng bằng cách chăm sóc bản thân, tôi sẽ trang bị tốt hơn để hỗ trợ bạn mình. Tôi muốn đảm bảo rằng tôi duy trì sự cân bằng lành mạnh giữa việc ở bên họ và dành thời gian cho sức khỏe của bản thân. Có lẽ việc lên lịch kiểm tra thường xuyên với bản thân, tham gia vào các hoạt động mang lại niềm vui cho tôi và tìm kiếm sự hỗ trợ từ những người thân yêu có thể giúp tôi giữ vững tinh thần trong thời gian thử thách này.",5,Stress,0.16352224
"""Create a series of questions to help find out a persons career interests.""?",1,Bipolar,0.18755916
Gần đây tôi thực sự quan tâm đến nhiếp ảnh. Tôi luôn ngưỡng mộ cách các nhiếp ảnh gia ghi lại những khoảnh khắc ngoạn mục và tôi muốn tự mình học cách thực hiện điều đó. Đó dường như là một cách tuyệt vời để thể hiện bản thân và khám phá thế giới xung quanh tôi.,6,Suicidal,0.1745338
"Maybe it's not just about others. Maybe it's also about me. Depression has this way of making me distance myself from those who care about me. I isolate myself, believing I'm protecting them from my darkness. But maybe, in doing so, I push them away even more. And it becomes this vicious cycle of expectations and disappointment.",1,Bipolar,0.18376595
"Cảm ơn. Lời nói của bạn có ý nghĩa rất lớn đối với tôi. Tôi biết ơn sự hiện diện đồng cảm và quan tâm của bạn trong thời điểm khó khăn này. Nó mang lại cho tôi chút hy vọng rằng có thể có một con đường phía trước, ngay cả khi tôi đang gặp khó khăn về sức khỏe.",2,Depression,0.17581703
"I have thought about it, but I'm hesitant. I suppose I'm scared of opening up about my struggles and being vulnerable in front of a stranger.",1,Bipolar,0.21203965
"Cảm ơn. Vâng, lớn lên, tôi cảm thấy bị cha mẹ bỏ rơi. Họ luôn bận rộn với công việc và hiếm khi tỏ ra quan tâm đến cuộc sống hay sở thích của tôi. Nó để lại cho tôi cảm giác dai dẳng rằng mình không quan trọng hoặc không có giá trị.",4,Personality disorder,0.2175458
Nó khiến tôi tràn ngập cảm giác vui sướng tột độ. Ý nghĩ được cầm trên tay cuốn sách đã xuất bản của mình và biết rằng mình đã tạo được tác động tích cực thông qua bài viết của mình khiến trái tim tôi bay bổng. Nó nhắc nhở tôi về lý do tại sao tôi bắt đầu hành trình này ngay từ đầu và củng cố sự cống hiến của tôi để biến nó thành hiện thực.,5,Stress,0.1702116
Tạo danh sách ba chiến lược khác nhau để xử lý khiếu nại của khách hàng.,0,Anxiety,0.19864714
"Gần đây tôi đã mất việc và điều đó đã giáng một đòn mạnh vào lòng tự trọng của tôi. Tôi luôn tự hào mình là một nhân viên tận tâm và chăm chỉ, vì vậy thất bại này đã thực sự ảnh hưởng đến sự tự tin của tôi.",5,Stress,0.21283221
Tôi đánh giá cao sự hướng dẫn của bạn. Thật an ủi khi biết rằng có thể có cách nào đó để vượt qua nỗi lo lắng này. Tôi cảm thấy quá cô đơn và bị mắc kẹt trong nỗi sợ hãi của mình.,0,Anxiety,0.19330984
Tôi chưa có cuộc trò chuyện đó. Tôi đã cố gắng xử lý cảm xúc của mình và tìm ra những từ thích hợp để bày tỏ cảm xúc của mình mà không khiến nó trở thành một cuộc xung đột lớn hơn. Tôi muốn tiếp cận vấn đề này với tư duy yêu thương và tìm ra giải pháp công bằng cho cả hai chúng tôi.,1,Bipolar,0.16735278
"Well, I feel like I've been trapped in this constant cycle of sadness and hopelessness. It's been hard to find any motivation.",1,Bipolar,0.21242523
"Tôi tập trung vào việc chăm sóc bản thân, tham gia vào các hoạt động mang lại niềm vui cho tôi, như vẽ tranh và tập thể dục. Nó giúp giữ cho tâm trí tôi luôn bận rộn và nhắc nhở về hạnh phúc của chính mình.",5,Stress,0.20658378
"
Vần từ sau với một từ khác.: 

Đêm
",0,Anxiety,0.22747487
"Tôi nghĩ điểm khởi đầu tốt là thử thách việc tự nói chuyện tiêu cực của mình và thay thế nó bằng những suy nghĩ nuôi dưỡng và hỗ trợ nhiều hơn. Ngoài ra, cho phép bản thân nghỉ ngơi khi cần thiết và tham gia vào các hoạt động mang lại niềm vui cho tôi có thể giúp nuôi dưỡng lòng từ bi với bản thân.",5,Stress,0.24511999
"Vâng, âm nhạc luôn là nguồn an ủi đối với tôi. Nó giúp tôi thư giãn và nâng cao tinh thần. Tôi luôn ngạc nhiên trước sức mạnh của nghệ thuật trong việc truyền tải cảm xúc và kể chuyện. Tôi nghĩ đó là một hình thức thể hiện bản thân đẹp đẽ.",3,Normal,0.17455031
Tôi đoán là tôi sợ thất bại hoặc không thể tạo ra được điều gì có ý nghĩa.,0,Anxiety,0.2029221
"Chà, tôi có thể bắt đầu bằng cách đầu tư vào một chiếc máy ảnh và ống kính tốt, nghiên cứu các khóa học hoặc hội thảo về nhiếp ảnh trong khu vực của mình và tham gia các cộng đồng nhiếp ảnh trực tuyến để kết nối với những người đam mê khác. Tôi cũng có thể dành thời gian cụ thể mỗi tuần để luyện tập và khám phá các kỹ thuật khác nhau.",1,Bipolar,0.17939034
"
Tóm tắt luận điểm chính.: 

Trong bài viết của mình, Mary lập luận rằng quyền riêng tư dữ liệu và bảo vệ dữ liệu là điều cần thiết để duy trì công chúng độc lập và có thông tin tự do.
",3,Normal,0.22202583
Imagine you are given an hour to explore a new city. Write a sentence that conveys an emotion and excitement.?,0,Anxiety,0.18881184
"""Tôi sợ rằng mình không đủ giỏi. Điều gì sẽ xảy ra nếu tôi đầu tư thời gian và sức lực vào sở thích mới này, rồi phát hiện ra rằng mình không đủ tài năng hoặc kỹ năng để trở nên xuất sắc?""",5,Stress,0.20092294
Gần đây tôi cảm thấy thực sự khó chịu và đầy lo sợ về công việc. Căng thẳng quá lớn và tôi không biết phải giải quyết thế nào nữa.,5,Stress,0.18684779
"Chắc chắn rồi! Tôi nhận thấy rằng tôi kiên nhẫn và thấu hiểu hơn với gia đình mình. Tôi có thể tiếp cận các cuộc trò chuyện với tư duy bình tĩnh hơn và thực sự lắng nghe những gì họ nói. Bằng cách quản lý căng thẳng liên quan đến công việc tốt hơn, tôi đã tạo ra một môi trường hài hòa hơn ở nhà và điều đó tạo ra sự khác biệt đáng kể trong hạnh phúc chung của chúng tôi.",5,Stress,0.1939294
"Chà, hồi còn đi học tôi đã từng thích vẽ tranh nên tôi đã nghĩ đến việc thử lại. Có lẽ nó có thể giúp tôi tìm thấy chút bình yên và quên đi cảm giác hỗn loạn mà tôi đang cảm thấy.",2,Depression,0.1866209
Cảm giác thật tuyệt vời! Tôi thậm chí không thể diễn đạt nó thành lời. Tất cả những gì tôi biết là sự phấn khích này đã tiếp thêm sinh lực cho tôi theo những cách mà tôi chưa bao giờ nghĩ là có thể. Giống như tôi đang nhìn thế giới qua một lăng kính khác và nó thật đẹp.,1,Bipolar,0.17599936
"Tôi nghĩ tôi có thể quản lý điều đó. Điều quan trọng là phải ưu tiên sức khỏe của tôi, ngay cả khi công việc đòi hỏi tôi rất nhiều.",1,Bipolar,0.18814982
Dạo gần đây tôi cảm thấy chán ghét bản thân mình. Cứ như thể cuộc sống của tôi đang dậm chân tại chỗ và những ước mơ của tôi chẳng thể nào thành hiện thực. Kỳ vọng của tôi đã tan vỡ hết lần này đến lần khác.,2,Depression,0.16348326
"Chắc chắn rồi! Tôi sẵn sàng khám phá liệu pháp như một phương tiện để có được cái nhìn sâu sắc và hướng dẫn sâu hơn. Sẽ rất hữu ích nếu có quan điểm chuyên nghiệp và sự hỗ trợ khách quan trong thời gian thay đổi. Ngoài ra, việc tham gia các nhóm hỗ trợ có thể mang lại cảm giác cộng đồng và cho phép tôi kết nối với những người khác đã trải qua trải nghiệm tương tự.",5,Stress,0.17407197
  I've been having trouble sleeping at night and I don't know what to do. ,1,Bipolar,0.18563502
"Đôi khi tôi có xu hướng tránh đối đầu và giấu kín các vấn đề, hy vọng chúng sẽ biến mất một cách kỳ diệu. Bây giờ tôi nhận ra rằng đó không phải là một cách tiếp cận lành mạnh. Tôi muốn trở nên quyết đoán hơn và giải quyết trực tiếp các xung đột.",5,Stress,0.19437939
"Chà, tôi nghĩ một nỗi sợ hiện lên trong đầu tôi là nỗi sợ thất bại. Tôi lo lắng rằng mình có thể không đủ giỏi hoặc có thể mắc sai lầm trong quá trình thực hiện. Tôi rất dễ nản lòng khi mọi việc không diễn ra như kế hoạch. Tuy nhiên, tôi hy vọng rằng với sự hướng dẫn và hỗ trợ của bạn, tôi sẽ có thể biến những trở ngại này thành những bài học kinh nghiệm quý giá.",5,Stress,0.1939727
"I have, but even the small tasks seem insurmountable at times. I feel like I'm swimming against the current, and my confidence is waning. I thought pursuing my dream would be a joyful experience, but it's been a rollercoaster of emotions.",1,Bipolar,0.19147936
"Được rồi, tôi sẵn sàng thử. Nhưng tôi không biết phải nói gì.",0,Anxiety,0.21158664
"
Tạo câu hỏi trắc nghiệm với 4 lựa chọn cho câu sau.: 

Cách viết đúng của thủ đô của một nước lớn là Bắc Kinh.
",0,Anxiety,0.20306219
"Painting has become my refuge, my safe haven, in these trying times. It provides an outlet for my sadness and allows me to cultivate a sense of purpose and fulfillment. Through painting, I feel I've discovered a part of myself that I never knew existed. It's like unraveling the layers and reconnecting with the essence of who I truly am.",1,Bipolar,0.19098048
Tôi luôn có niềm đam mê với nghệ thuật và thiết kế nhưng chưa bao giờ theo đuổi nó một cách nghiêm túc vì lo lắng nó sẽ không dẫn đến một sự nghiệp ổn định. Tôi đoán là tôi đã chơi an toàn và gắn bó với những công việc không thực sự khiến tôi hài lòng.,4,Personality disorder,0.22163905
Tôi chưa thực sự nghĩ về nó. Có lẽ tôi đang cố gắng tự mình giải quyết mọi việc. Có lẽ việc tìm kiếm sự hỗ trợ từ những người đã trải qua mất mát tương tự có thể mang lại sự chữa lành rất cần thiết.,1,Bipolar,0.1837621
"Chắc chắn rồi! Khi tìm hiểu sâu hơn về thế giới hội họa, tôi nhận ra rằng nó không chỉ mang lại cho tôi niềm vui vô bờ bến mà còn cho phép tôi thể hiện cảm xúc và suy nghĩ của mình một cách độc đáo. Tôi có mong muốn mạnh mẽ là tạo ra tác động tích cực đến người khác và tôi tin rằng những bức tranh của tôi có thể là nguồn cảm hứng và niềm an ủi cho những ai xem chúng. Tôi hình dung việc đưa sở thích này lên một tầm cao mới bằng cách trưng bày tác phẩm nghệ thuật của mình trong các phòng trưng bày và thậm chí có thể bán nó như một phương tiện kiếm sống.",4,Personality disorder,0.18915798
"Chúng tôi ngừng tận hưởng sự bầu bạn của nhau. Những tiếng cười và niềm vui mà chúng tôi từng chia sẻ đã biến mất, và có cảm giác như chúng tôi liên tục đi trên vỏ trứng xung quanh nhau. Tôi cảm thấy ngột ngạt và mắc kẹt trong một mối quan hệ không còn khiến tôi hạnh phúc nữa.",1,Bipolar,0.20917359
"Chà, tôi đang gặp phải một số vấn đề về sức khỏe ảnh hưởng đến năng lượng và động lực của tôi. Thật khó để tập trung vào việc học khi tôi thường xuyên cảm thấy mệt mỏi và không khỏe.",3,Normal,0.16034555
"Đó là một mối quan hệ tràn ngập tình yêu, tiếng cười và những giấc mơ chung. Chúng tôi là những người bạn tốt nhất, những người bạn tâm giao. Chúng ta đã cùng nhau trải qua rất nhiều khoảnh khắc tuyệt vời và thật khó để từ bỏ.",4,Personality disorder,0.19505228
"Thành thật mà nói, tôi đã bỏ bê bản thân mình. Tôi đã quá tập trung vào việc cố gắng hàn gắn mối quan hệ của chúng ta đến nỗi quên chăm sóc sức khỏe của bản thân. Tôi cảm thấy như mình đã đánh mất chính mình trong quá trình này.",3,Normal,0.2001547
"Cảm ơn bạn đã nhắc nhở tôi về giá trị của chính mình. Tôi đã cố gắng ưu tiên việc chăm sóc bản thân bằng cách tham gia vào các hoạt động mang lại niềm vui cho tôi. Tôi vẽ tranh, viết nhật ký và dành nhiều thời gian hơn với những người bạn luôn nâng đỡ và hỗ trợ tôi. Tuy nhiên, có những ngày tôi vẫn cảm thấy choáng ngợp bởi sự cô đơn và nỗi sợ hãi phải bước tiếp. Bạn có thể cung cấp bất kỳ hướng dẫn hoặc chiến lược nào để giúp tôi điều hướng quá trình đang diễn ra này không?",5,Stress,0.20432256
Nó khiến tôi cảm thấy mình vô dụng và không quan trọng. Tôi liên tục nghi ngờ khả năng của mình và đấu tranh với lòng tự trọng. Thật khó để tìm thấy niềm vui và động lực trong cuộc sống khi mọi thứ đều giống như một trận chiến khó khăn liên tục.,6,Suicidal,0.16413957
Gần đây tôi cảm thấy rất lo lắng. Đó là một cuộc đấu tranh liên tục và tôi dường như không thể rũ bỏ được cảm giác bất an tràn ngập này. Tôi đoán tất cả đều có dấu vết từ thời thơ ấu của tôi.,5,Stress,0.21411909
Không hẳn đâu. Tôi sợ cô ấy có thể coi đó là điểm yếu hoặc gánh nặng. Tôi sợ cô ấy sẽ càng tránh xa hơn nếu biết hành động của mình ảnh hưởng đến tôi đến mức nào.,5,Stress,0.18509687
"The main issue revolves around my parents' constant bickering. Their arguments have become a daily occurrence, filled with harsh words and unresolved grievances. It's unbearable to witness the deterioration of their relationship, and it's affecting my own sense of stability and happiness.",5,Stress,0.18601474
Tôi đảm bảo sẽ tập thở sâu mỗi ngày. Nghe có vẻ đơn giản và tôi hy vọng rằng nó sẽ có tác động tích cực đến sự lo lắng của tôi. Tôi có thể làm gì khác để giảm mức độ lo lắng của mình vào thời điểm nó bắt đầu khiến tôi cảm thấy quá sức không?,5,Stress,0.18906775
"Tôi cũng cảm thấy rất tội lỗi, như thể tôi đã có thể làm điều gì đó khác biệt để giữ anh ấy không rời đi. Nó đang ăn mòn tôi từ bên trong.",1,Bipolar,0.18316853
"Xin chào , tôi cảm thấy choáng ngợp vì căng thẳng liên quan đến công việc. Dường như tôi không thể tìm thấy chút bình yên nào trong tâm trí mình. Tôi mong muốn có được cảm giác về tình bạn và sự hỗ trợ ở nơi làm việc của mình.",2,Depression,0.18058763
Chỉ là tôi luôn nghi ngờ bản thân mình. Tôi cảm thấy mình chưa đủ tốt và luôn lo lắng về việc người khác nghĩ gì về mình. Thật mệt mỏi khi cố gắng kiểm soát suy nghĩ và cảm xúc của chính mình.,4,Personality disorder,0.19226462
Đó là nỗi sợ thất bại. Tôi sợ phải đặt mình ra ngoài kia và không đủ tốt. Nếu tôi không bao giờ làm được thì sao? Điều gì sẽ xảy ra nếu tôi không đủ khả năng cho việc đó?,4,Personality disorder,0.18375975
Đó thực sự là sự kết hợp của nhiều thứ. Khối lượng công việc gần đây ngày càng tăng và dường như không bao giờ có đủ thời gian để hoàn thành mọi việc. Tôi thấy mình phải thực hiện nhiều nhiệm vụ và điều đó thật quá sức.,5,Stress,0.18528238
"Tạo một ví dụ duy nhất cho từ ""vẻ đẹp"" bằng cách so sánh.",6,Suicidal,0.18620972
Tôi đấu tranh với sự tổn thương. Tôi cảm thấy khó khăn khi cởi mở và chia sẻ cảm xúc thật của mình với người khác. Như thể tôi sợ bị đánh giá hoặc bị từ chối.,5,Stress,0.19908734
"Tôi luôn mơ ước tìm được một người yêu tôi vô điều kiện, chấp nhận con người thật của tôi và cùng nhau xây dựng tương lai. Nhìn thấy người yêu cũ đi cùng người yêu mới của họ, tôi có cảm giác như mọi giấc mơ đó đã tan vỡ. Tôi cảm thấy như mình sẽ không bao giờ tìm được thứ tình yêu đó nữa.",3,Normal,0.18891734
Tôi đã nói chuyện với một vài người bạn nhưng có vẻ như họ không thực sự hiểu những gì tôi đang trải qua. Tôi sẵn sàng nhận sự trợ giúp chuyên nghiệp nhưng tôi không chắc nên bắt đầu từ đâu hoặc liệu điều đó có tạo ra sự khác biệt hay không.,4,Personality disorder,0.19542472
Nấu ăn luôn là niềm đam mê của tôi. Có lẽ tôi có thể lao vào thử các công thức nấu ăn mới và tìm thấy niềm an ủi trong quá trình tạo ra thứ gì đó thơm ngon.,1,Bipolar,0.18722576
"Chắc chắn rồi! Vì vậy gần đây chúng tôi hay xảy ra bất đồng và tranh cãi vì những điều ngớ ngẩn. Có cảm giác như chúng tôi luôn ở hai trang khác nhau và tình bạn của chúng tôi đang đau khổ vì điều đó. Việc này thực sự rất khó xử lý, bạn biết không?",2,Depression,0.18983482
Summarize what we know about the coronavirus.?,1,Bipolar,0.21895021
"My husband doesn’t trust me for some past we had. I know all marriages have their ups and downs, but sometimes, I feel I am getting tired of the same thing over and over: that I am messing around, which I am not.",0,Anxiety,0.20299327
"Câu hỏi hay! Đối với tôi, lòng tự trọng có nghĩa là chấp nhận và yêu thương bản thân vô điều kiện, bất kể sự xác nhận bên ngoài. Đó là cảm giác tự tin vào khả năng của mình, tin vào giá trị của mình và đón nhận những phẩm chất độc đáo tạo nên con người của tôi. Nếu lòng tự trọng của tôi tăng cao, tôi sẽ thức dậy mỗi sáng với cảm giác phấn khích, có động lực để giải quyết thử thách với niềm tin vững chắc vào bản thân.",5,Stress,0.20775944
