statement,predicted_label_id,predicted_status,confidence,
Tôi rất biết ơn khi có bạn ở bên cạnh tôi. Tôi sẵn sàng nắm lấy cơ hội này để phát triển và lấy lại quyền kiểm soát sức khỏe và hạnh phúc của mình. Cảm ơn bạn đã cho tôi hy vọng.,1,Bipolar,0.9951702,
Đúng thực sự. Tôi đã nói chuyện với sếp vào tuần trước và họ có vẻ không quan tâm đến ý tưởng cũng như đóng góp của tôi. Nó khiến tôi đặt câu hỏi về giá trị của mình và liệu tôi có ở trong môi trường phù hợp để phát triển hay không.,5,Stress,0.99990726,
"Tôi hình dung ra một mối quan hệ tràn ngập sự tôn trọng, tin tưởng lẫn nhau và sự kết nối tình cảm sâu sắc. Tôi muốn có thể bày tỏ con người thật của mình với một người chấp nhận và yêu thương con người thật của tôi.",4,Personality disorder,0.99780685,
Tôi đã cố gắng nhưng nó thật khó khăn. Tôi luôn bận rộn với công việc và sở thích nhưng dù có làm gì thì tôi cũng không thể rũ bỏ được cảm giác trống rỗng này.,5,Stress,0.99960953,
"Tôi phải thừa nhận, tôi cảm thấy nhẹ nhõm khi cuối cùng cũng được ở đây. Trong tôi luôn có một nỗi sợ hãi dai dẳng về các mối quan hệ cá nhân của mình và tôi không thể không mang theo nó đi khắp mọi nơi.",2,Depression,0.3905075,
Propose an emergency plan for dealing with an oil spill.?,3,Normal,0.68662417,
"Well, I've always been intrigued by painting, but I never considered myself artistic. The idea of expressing myself through colors and brush strokes seems both exciting and terrifying.",6,Suicidal,0.29859096,
"Cảm ơn bạn, vì sự hướng dẫn và hiểu biết của bạn. Tôi thực sự đánh giá cao sự giúp đỡ của bạn và sẽ cân nhắc tìm kiếm sự trợ giúp chuyên nghiệp để giải quyết những xung đột này.",0,Anxiety,0.99296606,
"À, hồi còn trẻ tôi từng thích vẽ tranh. Đó là cách để tôi thể hiện bản thân và tìm thấy cảm giác bình yên.",1,Bipolar,0.71945715,
"I've heard of mindfulness before, and I'm open to giving it a shot. If it can bring me closer to regaining focus and pursuing my dreams with clarity, I'm all for it.",3,Normal,0.7293678,
"Cảm ơn bạn! Tôi đã học được rằng giấc mơ không thành hiện thực chỉ sau một đêm; họ đòi hỏi sự chăm chỉ, kiên trì và rất nhiều niềm tin. Ước mơ trở thành phi công đã dạy cho tôi những bài học cuộc sống quý giá về sự kiên cường, niềm tin vào bản thân và sức mạnh của một gia đình yêu thương. Tôi mãi mãi biết ơn cuộc hành trình này và háo hức muốn biết điều gì đang chờ đợi phía trước.",5,Stress,0.80133456,
"Chắc chắn rồi! Vì vậy, gần đây tôi bận rộn với công việc và các dự án cá nhân. Giống như tâm trí của tôi liên tục chạy đua và tôi khó có thể hiện diện trong thời điểm hiện tại. Sự căng thẳng về tinh thần này đã khiến tôi vô tình bỏ bê gia đình, họ tỏ ra không hài lòng, điều này chỉ làm tăng thêm cảm giác bị chối bỏ và tội lỗi. Nó thực sự quá sức chịu đựng và tôi muốn tìm cách thoát khỏi vòng luẩn quẩn này.",5,Stress,0.999292,
"Tôi chưa thực sự nghĩ đến việc liên hệ với người khác vì tôi không muốn tạo gánh nặng cho họ về những vấn đề của mình. Hơn nữa, có cảm giác như không ai có thể hiểu hết nỗi sợ hãi sâu thẳm của tôi. Tôi đã cố giữ vẻ mặt dũng cảm nhưng bên trong, tôi đang suy sụp.",4,Personality disorder,0.80698013,
"That's a good point. I haven't yet had the courage to approach them about it. I worry about appearing needy or insecure. Plus, what if they really don't want to spend time with me anymore? It's scary to face the possibility of rejection.",6,Suicidal,0.60277116,
"Bạn nói đúng. Tôi có xu hướng tập trung vào những khoảnh khắc mà tôi cảm thấy mình đã phạm sai lầm hoặc khiến đối tác của mình thất vọng. Ví dụ, nếu tôi quên điều gì đó quan trọng hoặc vô tình nói điều gì đó gây tổn thương, điều đó ngay lập tức khơi dậy một loạt suy nghĩ tự phê bình.",5,Stress,0.99265337,
"Viết lại câu sau ở thì quá khứ. ""Anh ấy hoàn thành báo cáo một cách nhanh chóng.""",1,Bipolar,0.97317004,
"Này , tôi thậm chí không biết bắt đầu từ đâu. Tôi cảm thấy rất mệt mỏi, cả tinh thần và thể chất. Cảm giác như tôi đang liên tục chiến đấu chống lại chính cơ thể mình và nó khiến tôi kiệt sức. Gần đây tôi đang phải đối mặt với rất nhiều vấn đề về sức khỏe và tất cả cứ chồng chất lên nhau. Tôi cảm thấy mình thật thất bại vì dường như tôi không thể khá hơn được.",1,Bipolar,0.98184985,
"Vâng, tôi luôn mong có được một công việc ổn định và một mối quan hệ yêu đương. Tôi nghĩ mình có thể chu cấp cho gia đình và tìm thấy hạnh phúc trong cuộc sống hàng ngày. Nhưng cơn nghiện đã lấy đi những cơ hội mà tôi từng có và hủy hoại các mối quan hệ của tôi. Thật khó để thừa nhận, nhưng tôi cảm thấy như mình đã mất mát quá nhiều.",2,Depression,0.9871,
"Cảm ơn. Tôi đánh giá cao sự hướng dẫn và hỗ trợ của bạn. Tôi cảm thấy hy vọng và hào hứng khi khám phá những con đường mới này để được hỗ trợ và phục hồi. Tôi tin rằng với các công cụ và nguồn lực phù hợp, chúng ta có thể cùng nhau vượt qua cơn nghiện này.",5,Stress,0.58761305,
"Honestly, it's been difficult. I've been feeling a deep sense of sadness and anger. It's like a dark cloud is constantly hanging over me, and I can't escape it. I've been trying to keep myself busy, but the pain always finds a way to seep through.",6,Suicidal,0.92084825,
"Chà, tôi luôn coi mình là một người hạnh phúc và tôi rất thích những cuộc gặp gỡ tình dục của mình. Tuy nhiên, gần đây, tôi thấy mình suy nghĩ quá nhiều và lo lắng về việc liệu mình có đáp ứng được nhu cầu của đối tác hay không hay liệu mình có đang làm đúng mọi việc hay không. Như thể những suy nghĩ này tràn ngập tâm trí tôi và khiến tôi khó có thể thư giãn hoàn toàn và tận hưởng khoảnh khắc này.",5,Stress,0.93541354,
"I can start by placing sticky notes with empowering affirmations around my workspace and setting aside time every day to connect with like-minded individuals who share a similar passion. By immersing myself in an environment that nurtures my dream, I believe I can transform my anxiety into inspiration.",3,Normal,0.62538135,
"Vâng, chúng tôi đã có vài cuộc trò chuyện về nó. Tôi đã bày tỏ mối quan tâm của mình và chứng nghiện của cô ấy đã ảnh hưởng đến tinh thần của tôi như thế nào. Cô ấy hiểu, nhưng việc thoát ra là một thử thách đối với cô ấy.",2,Depression,0.9985399,
Chỉ là tôi đã mang nỗi đau này trong mình quá lâu và nó trở nên không thể chịu đựng nổi. Tôi cảm thấy như mình đang chìm đắm trong nỗi buồn.,4,Personality disorder,0.6181918,
"Vâng, làm ơn. Tôi sẵn sàng thử bất cứ điều gì có thể giúp tôi bớt lo lắng và cô lập hơn. Tôi chỉ muốn tìm cách tiến về phía trước và xây dựng lại một số tình bạn đã căng thẳng.",4,Personality disorder,0.9924298,
"Giống như dù tôi có làm gì đi chăng nữa, tôi cũng không bao giờ cảm thấy đủ tốt. Tôi so sánh mình với người khác và luôn thấy mình thiếu sót. Thật mệt mỏi.",4,Personality disorder,0.99659306,
"Tôi thường tìm thấy niềm an ủi khi viết nhật ký và bày tỏ suy nghĩ, cảm xúc của mình trên giấy. Nó giúp tôi xử lý những gì tôi đang trải qua và hiểu rõ hơn. Ngoài ra, tôi cố gắng tham gia vào các hoạt động mang lại cho tôi niềm vui và mang lại lối thoát tạm thời khỏi những xung đột, như dành thời gian hòa mình vào thiên nhiên hoặc thực hành chánh niệm.",1,Bipolar,0.9869572,
"I think it would make a big difference. By actively listening, I can show my friends that I value their perspective, and it might encourage them to do the same for me. It could help create a more open and understanding atmosphere.",2,Depression,0.95388436,
Tôi đoán bạn đúng. Tìm kiếm sự trợ giúp từ chuyên gia có thể cung cấp cho chúng ta những công cụ để vượt qua sự căng thẳng này và cùng nhau phát triển. Đó chỉ là một bước khó khăn để thực hiện.,5,Stress,0.99987805,
"Tôi có thể bắt đầu bằng cách dành một khoảng thời gian cụ thể mỗi ngày cho các hoạt động giúp mình trẻ lại, chẳng hạn như đọc sách, đi dạo trong thiên nhiên hoặc thực hành chánh niệm. Bằng cách chủ động dành thời gian cho những hoạt động này, tôi có thể đảm bảo rằng việc tự chăm sóc bản thân trở thành một phần không thể thiếu trong thói quen hàng ngày của tôi.",4,Personality disorder,0.8883946,
"Tôi có thể sắp xếp thời gian để chúng ta nói chuyện trong một khung cảnh thoải mái và trung lập. Tôi sẽ bày tỏ mối quan ngại của mình và nhấn mạnh tầm quan trọng của sự tôn trọng và hiểu biết lẫn nhau. Nếu họ sẵn sàng nỗ lực cải thiện mối quan hệ, chúng ta có thể cùng nhau tiến về phía trước. Nếu không, tôi sẽ phải chấp nhận rằng có lẽ đã đến lúc phải tiếp tục.",4,Personality disorder,0.9991185,
Tôi không thể tin được là tôi chán ghét chính mình đến thế. Mọi việc tôi cố gắng làm đều kết thúc trong thất bại.,6,Suicidal,0.5424923,
"Này , tôi hy vọng hôm nay bạn làm tốt. Gần đây tôi cảm thấy hơi cô đơn và điều đó khiến tôi cảm thấy sợ hãi trong lòng. Tôi thực sự cần tìm thứ gì đó để lấp đầy thời gian và mang lại chút hứng thú cho cuộc sống. Bạn có đề nghị nào không?",2,Depression,0.9993106,
Tôi chưa bao giờ đi trị liệu trước đây nhưng tôi sẵn sàng thử. Tôi có thể mong đợi điều gì từ các buổi trị liệu?,2,Depression,0.8824948,
"Tôi đoán tôi có thể thử điều đó. Thật kỳ lạ khi tập trung vào bản thân theo cách đó, nhưng tôi sẵn sàng thử.",6,Suicidal,0.99879164,
"Cảm ơn. Bạn thấy đấy, gần đây bố mẹ tôi đã trải qua một giai đoạn khó khăn và nó ảnh hưởng đến mọi thứ xung quanh chúng tôi. Những cuộc tranh cãi liên miên, những lời nói gay gắt và sự oán giận sâu sắc đã tạo ra bầu không khí độc hại ở nhà. Dường như tình yêu và sự hiểu biết đã được thay thế bằng sự tức giận và cay đắng. Tôi cảm thấy thật bất lực giữa sự hỗn loạn này.",2,Depression,0.62042665,
"Tôi đoán thành công đối với tôi là tìm được một sự nghiệp viên mãn, có những mối quan hệ ổn định và hài lòng với cuộc sống của mình. Nhưng hiện tại, tôi cảm thấy tất cả những điều đó đều ngoài tầm với.",1,Bipolar,0.99745125,
"Mối quan hệ của tôi đã kết thúc gần đây. Tôi nghĩ chúng tôi có điều gì đó đặc biệt, nhưng tất cả đều tan vỡ. Nó khiến tôi cảm thấy lạc lõng và tự vấn bản thân.",5,Stress,0.44825613,
Cảm ơn. Việc có một người hiểu và muốn giúp đỡ có ý nghĩa rất lớn. Đôi khi tôi tự hỏi liệu mình có thể vượt qua được cơn nghiện này và tìm thấy sự bình yên trong chính mình hay không. Cảm giác như đó là một nhiệm vụ bất khả thi và sức nặng của nó khiến tôi nghẹt thở.,4,Personality disorder,0.99690384,
"Cảm ơn. Tôi biết sâu xa rằng bạn đúng. Việc thay đổi những suy nghĩ tiêu cực cứ quẩn quanh trong đầu tôi chỉ là một thử thách. Tôi sẵn sàng khám phá những cách để nâng cao lòng tự trọng của mình, nhưng tôi cảm thấy choáng ngợp khi nghĩ về nó ngay bây giờ. Bạn có gợi ý nào về việc nên bắt đầu từ đâu không?",2,Depression,0.99903905,
"Chắc chắn rồi! Chà, được một thời gian rồi, tôi đã phải chiến đấu với chứng nghiện mạng xã hội. Có vẻ như tôi không thể sống một ngày mà không lướt điện thoại một cách vô tâm. Nó bắt đầu ảnh hưởng đến năng suất và sức khỏe tổng thể của tôi.",4,Personality disorder,0.70055544,
"Chắc chắn rồi. Gần đây, tôi nhận thấy rằng bất cứ khi nào có sự bất đồng hoặc khác biệt về quan điểm, nó sẽ nhanh chóng leo thang thành những lời lẽ gây tổn thương và căng thẳng. Giống như tôi không thể thể hiện bản thân mà không cảm thấy bị tấn công, và điều đó trở nên quá sức chịu đựng.",5,Stress,0.9839035,
"Vâng, tôi đã nghĩ về điều đó. Tôi nghĩ việc tìm kiếm sự trợ giúp từ chuyên gia có thể có ích, đặc biệt nếu điều đó có nghĩa là tìm được những người có thể đồng cảm với những gì tôi đang trải qua. Nó có khả năng làm giảm bớt phần nào sự cô đơn mà tôi đang cảm thấy.",2,Depression,0.58902425,
"It's scary, but it also feels like a step towards regaining control over my life. I'm willing to give it a try. I appreciate your guidance in this process.",3,Normal,0.4107368,
"Nó khiến tôi đặt câu hỏi về bản thân và mối quan hệ của chúng tôi. Tôi bắt đầu nghi ngờ liệu mình có còn quan trọng với anh ấy hay không, hay có chuyện gì khác đang xảy ra.",1,Bipolar,0.60803986,
"Đúng, trước đây tôi đã từng thử tham gia các nhóm hỗ trợ, nhưng tôi luôn cảm thấy choáng ngợp trước câu chuyện của người khác. Nó khiến tôi đặt câu hỏi liệu tôi có thể thực sự tiến bộ hay không. Liệu tôi có thể sống một cuộc sống không nghiện ngập không?",2,Depression,0.5643943,
"Chà, đôi khi điều đó xảy ra ở nơi làm việc khi tôi đang trình bày ý tưởng của mình với đồng nghiệp. Tôi cảm thấy như ý kiến ​​của mình bị bác bỏ hoặc chế giễu, khiến tôi dựng lên những bức tường để bảo vệ mình. Những lần khác, nó xảy ra trong môi trường xã hội nơi tôi cảm nhận được bầu không khí phán xét, khiến tôi rút lui khỏi việc tham gia đầy đủ.",4,Personality disorder,0.99988174,
Tôi nghĩ hôm nay cuộc trò chuyện này thực sự hữu ích. Tôi cảm thấy nhẹ nhàng hơn khi chia sẻ suy nghĩ của mình và biết rằng vẫn còn con đường phía trước. Tôi chắc chắn sẽ liên hệ nếu tôi có thêm câu hỏi hoặc cần hỗ trợ. Cảm ơn bạn một lần nữa cho thời gian của bạn.,5,Stress,0.9428469,
"Hi , I hope you're doing well. I'm , and I'm here because I'm looking for some peace and health in my life. I've been struggling with grief lately, and I'm hoping you can help me navigate through this difficult journey.",6,Suicidal,0.41456485,
Bạn nói đúng. Tôi đã quá tập trung vào việc bảo vệ họ đến nỗi quên mất họ cũng muốn hỗ trợ tôi. Tôi biết ơn sự hướng dẫn của bạn.,4,Personality disorder,0.9618084,
Tôi sẽ cố gắng lấy hết can đảm để nói chuyện với họ. Nhưng tôi vẫn không chắc nên bắt đầu cuộc trò chuyện như thế nào. Tôi nên nói gì đây?,4,Personality disorder,0.88129663,
"Này , tôi hy vọng bạn vẫn ổn. Gần đây tôi cảm thấy thực sự căng thẳng. Thật khó để tôi có thể tin tưởng người khác và cởi mở về những gì đang diễn ra.",0,Anxiety,0.9886819,
"Chắc chắn rồi. Có một mối quan hệ mà tôi cảm thấy có sự kết nối mạnh mẽ về tình cảm và tình dục với bạn đời của mình. Chúng tôi dường như hiểu nhau ở mức độ sâu sắc và sự gần gũi về thể xác của chúng tôi thật đáng kinh ngạc. Tuy nhiên, theo thời gian, các vấn đề về niềm tin xuất hiện và việc điều hướng những cảm xúc phức tạp của chúng ta trở nên khó khăn. Cảm giác giống như một chuyến đi tàu lượn siêu tốc với những khoảnh khắc hạnh phúc và đau khổ trộn lẫn vào nhau.",1,Bipolar,0.9400019,
"Chà, kể từ khi mất đi người thân yêu, tôi đã chôn vùi cảm xúc của mình và sao lãng công việc cũng như các hoạt động khác. Tôi không cho phép mình cảm nhận trọn vẹn nỗi đau và nỗi buồn đi kèm với sự đau buồn.",2,Depression,0.999305,
"Cảm ơn. Tôi đánh giá cao sự hướng dẫn và hiểu biết của bạn. Tôi vẫn còn sợ hãi nhưng tôi hy vọng rằng thông qua liệu pháp trị liệu, tôi có thể tìm thấy chút bình yên giữa nỗi đau buồn này.",4,Personality disorder,0.53642064,
"Hi , I hope you're doing well today. I wanted to talk about something that's been on my mind lately. I've been feeling a bit disappointed in my health and it's been affecting my overall mood. However, I still trust in the process and believe that things can get better.",6,Suicidal,0.8252613,
"Tôi đã thử nghiệm các bài tập thở sâu và những lời khẳng định tích cực, đôi khi chúng có ích vào lúc này. Nhưng tôi muốn khám phá những giải pháp lâu dài hơn để giải quyết nguyên nhân sâu xa khiến tôi lo lắng.",5,Stress,0.999329,
