Context_translated,Response_translated,
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Tôi rất vui mừng khi nghe điều này đã không đạt đến điểm của định hướng, tuy nhiên, nó có vẻ như bạn có thể sử dụng một số hỗ trợ bổ sung ngay bây giờ. tôi sẽ khuyến khích tìm kiếm hướng tư vấn để giúp đỡ bạn thách thức niềm tin tiêu cực bạn có về bản thân. mặc dù nhiều loại của sẽ có ích, nhận thức-haral đã được cho thấy là một phương pháp tốt cho loại đấu tranh này. A BTGGGGGGGGG có thể giúp bạn xác định suy nghĩ tiêu cực và, định lại niềm tin của bạn và, định hướng suy nghĩ của bạn là cách của bạn (cho tất cả những suy nghĩ của bạn, hoặc cho tất cả mọi người có ích) hoặc suy nghĩ tích cực, và bạn cũng có thể xem xét về chính bạn có thể giúp ích cho chính mình về việc điều trị tốt hơn nữa.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Nghe có vẻ như bạn đang phải vật lộn với trầm cảm. buồn nản có thể làm bạn cảm thấy bị choáng ngợp và bị tê liệt để thay đổi. tôi muốn đề nghị rằng bạn kết nối với một nhà cung cấp có thể giúp bạn nhận được gốc rễ của nơi mà sự suy nghĩ đến và giúp bạn phát triển một kế hoạch cho. trong khi chờ đợi, những bước nhỏ có thể đi một con đường dài. chăm sóc như bạn tình cảm, tâm trí, và tập luyện đều đều giúp ích với thời điểm hiện tại và nội tâm. tập trung vào một ngày nào đó và hồi phục của bạn có thể có được lợi ích.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Tôi rất vui khi bạn quan tâm đến việc thay đổi cảm xúc của bạn thay đổi cảm xúc của bạn thay đổi vị trí. thăm bác sĩ của bạn là một bước tuyệt vời đầu tiên để giải quyết vấn đề của bạn không ngủ. đầu tiên, bạn muốn chắc chắn rằng bạn đang khỏe mạnh và rằng không có một điều kiện vật lý gây ra vấn đề của bạn với giấc ngủ. cảm giác của bạn là một cái gì đó khó khăn để làm, đặc biệt là của bạn. đảm bảo rằng bạn có một người bạn có thể tin tưởng và bạn có thể nói về cảm giác của bạn. điều này có thể là một người bạn hoặc một thành viên gia đình. nếu bạn không có bất cứ ai bạn sẽ cảm thấy thoải mái để cảm thấy thoải mái nói về một vấn đề này, bạn có thể tìm thấy một người bạn có thể giúp đỡ trong những người có cảm giác tốt hơn và bạn có thể nói về cuộc sống của bạn có thể làm tốt hơn.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,Điều gì xảy ra khi chúng ta nghĩ rằng mình có thể tìm lại được một cách chính xác để giải quyết vấn đề này?,
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Xin chào, bạn có vẻ như bạn đang có rất nhiều trong tâm trí của bạn! tôi cảm thấy nhẹ nhõm khi nghe rằng bạn đã không bao giờ thử hoặc đã không dự định tự tử, nhưng không có khả năng ngủ, cảm giác, và như bạn không nên ở đây là những vấn đề lớn mà cần phải làm. hãy đi xung quanh để tham gia. có ai đó để lắng nghe bạn là một món quà cho chính mình. bạn xứng đáng với sự giúp đỡ của một ai đó giúp bạn thay đổi cảm xúc của bạn của bạn. bạn đã không có khả năng làm điều này. thời gian để làm điều này. nó là thời gian cho bạn có thể làm điều này. tốt nhất bạn có thể làm điều này. tốt nhất có thể làm điều này! tốt nhất! tốt nhất để bạn có thể làm điều này! bạn có thể làm điều này! tốt nhất!",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Nó có vẻ như bạn đang có một số bệnh trầm cảm khá nặng. kinh nghiệm có thể gây ra bệnh tật, và làm cho một người tập trung vào nhận thức của họ rằng họ là ""không có giá trị"". nó là quan trọng để nhớ rằng những người khác có thể không thực sự nhận thức bạn là vô giá trị. đây là sự buồn nản có thể gây ra bệnh tật. tôi nghĩ rằng nó là vô cùng quan trọng khi bạn đang ở đây, để ngồi xuống và viết xuống một số tích cực về bản thân mình. những gì là sức khỏe của bạn có những điều tích cực mà bạn đã làm trong cuộc sống của bạn? nó có thể có những mối quan tâm rằng bạn đang có những suy nghĩ rằng bạn đang có cảm giác có cảm giác có cảm giác có cảm giác rằng thời gian hoạt động của bạn đang có một số ý tưởng của mình, nếu bạn có thể nhận được sự giúp đỡ và viết ra một số điều tốt về sức khỏe của bạn có thể thực sự cố gắng để có được một số điều tốt về sức khỏe ngay bây giờ bạn có thể giúp đỡ của bạn có cảm giác về sức khỏe ngay bây giờ bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có thể bạn có những điều tốt về sức khỏe ngay bây giờ bạn có cảm giác về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe ngay bây giờ bạn có những điều tốt về sức khỏe của bạn có cảm giác của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe ngay bây giờ bạn có những điều tốt bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có cảm giác của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều tốt về sức khỏe của bạn có những điều mà bạn có thể bạn có thể bạn có thể bạn có thể bạn có thể bạn có thể bạn có thể bạn có những điều tốt về sức khỏe của bạn có những điều tốt bạn",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Bạn có thể, chắc chắn... và bước đầu tiên là tin rằng bạn xứng đáng để nhận ra. nhận định bạn đang trong một nhiệm vụ là đã có một bước đầu tiên. thời gian để bắt đầu tìm ra bạn là ai là tiếp theo... làm như vậy với o đồng vị và nhân từ. Đây là một quá trình và chỉ cần tìm kiếm những gì bạn có thể tìm thấy. tôi khuyên bạn tìm thấy một ai đó để nói chuyện (có rất nhiều lựa chọn có thể phù hợp với tình hình bạn, và tôi cũng khuyên bạn bắt đầu bằng cách đầu đầu đầu với việc cung cấp cho bản thân mình một số thời gian và sự nỗ lực này. Có một số công việc tốt đẹp. Tôi khuyên bạn nên tìm kiếm một số người nào đó để nói chuyện (có thể có nhiều lựa chọn mà có thể có thể có những điều phù hợp với bạn đang ở trong tình huống này), và tôi cũng khuyên bạn bắt đầu bằng cách đầu với sự giúp đỡ của bạn để đầu với một số thời gian và nỗ lực này.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Đôi khi chúng ta có thể thay đổi cảm xúc của chúng ta về bản thân bằng cách xây dựng một mối quan hệ tốt đẹp hơn với bản thân chúng ta. nó có vẻ như có một khía cạnh rất quan trọng của bản thân bạn đó là sống và tiếp nhận chúng ta. khi chúng ta bị mắc kẹt nó là bởi vì một phần của bản thân chúng ta, một cách mà có lẽ chúng ta đã học cách đối phó với những tình huống khó khăn trước đây trong cuộc sống của chúng ta, đã quyết định chạy chương trình. một phần quan trọng có thể thực sự là để bảo vệ chúng ta từ một trong quá khứ. khi chúng ta bị tổn thương và thậm chí là một mối quan hệ với một phần quan hệ quan trọng này sẽ giúp bạn có được một số không gian. khi chúng ta bắt đầu quan sát những phần của cuộc sống của chúng ta, chúng ta có thể nhận biết về chúng ta, như là một phần quan hệ mới, chúng ta có thể có thể thực sự bảo vệ chúng ta từ một cách thức khác để có thể có một mối quan hệ tốt hơn với chính mình, và có thể làm cho một mối quan hệ tốt hơn nữa.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Khi còn trẻ, cảm giác bất thường thường thường xuất phát từ những gì bạn đã học về bản thân khi còn trẻ. Việc suy ngẫm về lòng tự trọng của bạn cần tập trung vào thông điệp ban đầu của cha mẹ, thầy cô hoặc anh chị em ruột có thể bị hạn chế. phần lớn chúng ta cần sự giúp đỡ để khám phá từ chữ ""li"" bởi vì bạn được sinh ra có giá trị!",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Cảm giác vô dụng là do chính mình không có kết quả bên ngoài, so sánh với người khác và nghĩ rằng bạn cần trở thành một người khác hơn bản thân mình.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Nếu bạn có thể tìm kiếm thông tin về một người nào đó, bạn có thể tìm ra một cách tốt hơn để tìm hiểu về họ.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Tôi xin lỗi bạn đang cảm thấy theo cách này chúng ta đều có những câu chuyện mà chúng ta tự nói với bản thân mình cho dù nó có hợp lệ hay không trong trường hợp của bạn nó sẽ là hữu ích để khám phá khi nào và như thế nào điều này bắt đầu và giải thích câu chuyện của bạn có những cách khác nhau để khám phá và lặp lại quá trình này đòi hỏi sự cam kết, tự nguyện và lòng can đảm",
Tôi bị bệnh ung thư vú và mất ngủ cả đời. tôi có quá nhiều tiền sử trầm cảm và bắt đầu có vấn đề.,"Hãy để tôi bắt đầu bằng cách nói rằng không bao giờ có quá nhiều mối quan tâm mà bạn có thể mang lại cho tư vấn, thực tế, hầu hết những người đến để nhìn thấy tôi cho tư vấn có nhiều hơn một vấn đề họ muốn làm việc trong tâm lý và hầu hết thời gian những điều này là tất cả. trong tư vấn, chúng tôi làm cùng nhau, để tìm ra những vấn đề mà bạn muốn giải quyết đầu tiên và sau đó chúng tôi phát triển một kế hoạch cá nhân có nhiều hơn một vấn đề họ muốn làm thế nào, bạn có thể làm như thế nào để có được sự giúp đỡ để có thể làm cho một số vấn đề của bạn có thể vượt qua, dù bạn có thể không cần thiết, nhưng sau đó bạn cũng có thể thay đổi bất cứ điều gì bạn có thể làm điều gì để kiểm soát và có thể làm được những điều đó.",
Tôi bị bệnh ung thư vú và mất ngủ cả đời. tôi có quá nhiều tiền sử trầm cảm và bắt đầu có vấn đề.,"Nó không bao giờ quá muộn để có được sự giúp đỡ và bắt đầu tạo ra những thay đổi quan trọng và sự cải thiện trong cuộc sống của bạn. thời điểm thích hợp là khi bạn cảm thấy sẵn sàng và cởi mở để thay đổi. khi chúng ta có một lịch sử chấn thương, như lạm dụng tình dục, tác động của chấn thương đó có thể ảnh hưởng đến nhiều lĩnh vực của cuộc sống của chúng ta như người lớn. làm việc với một bác sĩ chuyên gia về chấn thương là một cách tuyệt vời để bắt đầu phát triển những kỹ năng để kiểm soát cuộc sống hiện tại, học cách điều khiển cảm xúc và hệ thống thần kinh khi bạn trở thành, và sau đó trong môi trường an toàn có cơ hội để vượt qua quá trình để bạn có thể sống với cuộc sống của bạn và những người có thể làm giảm bớt niềm vui của bạn và những người có thể làm giảm bớt bất cứ ảnh hưởng nào trong cuộc sống của họ.",
Tôi bị bệnh ung thư vú và mất ngủ cả đời. tôi có quá nhiều tiền sử trầm cảm và bắt đầu có vấn đề.,"Bạn đã trải qua rất nhiều và nó có vẻ như bạn có rất nhiều điều mà đã có khó khăn trong năm. bất kể cuộc đấu tranh bạn đã trải qua, bạn không có quá nhiều vấn đề cho tư vấn. nhiều lần khi một ai đó bắt đầu ra khỏi cuộc sống của họ và chữa bệnh, có nhiều điều họ muốn để giải quyết và làm việc trên. nếu bạn quyết định bắt đầu, bạn và bạn có thể quyết định những gì bạn muốn để xử lý và làm việc trên đầu tiên. đảm bảo với tư vấn viên tư vấn của bạn nếu bất cứ ai đó bắt đầu ra khỏi cuộc sống của họ và cuộc sống của bạn đang có nhiều kinh nghiệm tuyệt vời của bạn có thể nhận được thông qua rất nhiều đau khổ của nhiều lần đầu tiên những điều mà bạn đang có hoặc cuộc sống của bạn có thể quyết định những gì bạn sẽ quyết định những gì bạn muốn để làm cho quá trình và công việc trên đầu tiên.",
Tôi bị bệnh ung thư vú và mất ngủ cả đời. tôi có quá nhiều tiền sử trầm cảm và bắt đầu có vấn đề.,Tôi chỉ muốn làm việc với một vấn đề và một thời điểm trong liệu pháp điều trị bạn sẽ đặt những mục tiêu và mục tiêu mà sẽ giúp bạn đạt được mục tiêu của bạn tôi thấy bạn là một người duy nhất và không phải là một người bạn muốn tốt nhất cho bạn.,
